SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																																					
#																																							
# type		HITDIE:12		CR:2	DR:10/Silver and Magic		LEVELADJUSTMENT:8	TEMPLATE:Undead	TEMPLATE:CHOOSE:Slam (Fine)|Slam (Diminutive)|Slam (Tiny)|Slam (Small)|Slam (Medium)|Slam (Large)|Slam (Huge)|Slam (Gargantuan)|Slam (Colossal)	SOURCEPAGE:MonstersT-Z.rtf	SAB:Blood Drain (Ex)	SAB:Children of the Night (Su)	SAB:Dominate (Su) DC%|VampireAbilityDC	SAB:Energy Drain (Su)	SAB:Create Spawn (Su)	SAB:Alternate Form (Su)	SAB:Fast Healing 5 (Ex)	SAB:Gaseous Form (Su)	SAB:Energy Resistance Cold/Electricity 10	SAB:Turn Resistance +4 (Ex)	SAB:Spider Climb (Ex)	DEFINE:VampireAbilityDC|0		PREALIGN:2,5,8		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Bluff,Hide,Listen,Move Silently,Search,Sense Motive,Spot|8|TYPE=Racial	BONUS:STAT|STR|6	BONUS:STAT|DEX|4		BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4	BONUS:VAR|VampireAbilityDC|15+CHA		FEAT:Alertness,Combat Reflexes,Dodge,Improved Initiative,Lightning Reflexes		TYPE:Undead
Initiate of Ashardalon	VISIBLE:YES	SOURCEPAGE:Drac	BONUS:STAT|CON|-1																																				
Draconic Creature	VISIBLE:YES	SOURCEPAGE:Drac	!PRERACE:1,RACETYPE=Dragon	TEMPLATE:CHOOSE:Draconic Creature (Animal)	BONUS:COMBAT|AC|1|TYPE=NaturalArmor	TEMPLATE:CHOOSE:Draconic Claw (Fine)|Draconic Claw (Diminutive)|Draconic Claw (Tiny)|Draconic Claw (Small)|Draconic Claw (Medium)|Draconic Claw (Large)|Draconic Claw (Huge)|Draconic Claw (Gargantuan)|Draconic Claw (Colossal)	ABILITY:Special Ability|AUTOMATIC|Resistance To Sleep|Resistance To Paralysis	DEFINE:SleepResistanceBonus|4	DEFINE:ParalysisResistanceBonus|4	BONUS:STAT|STR|2	BONUS:STAT|CON|2	BONUS:STAT|CHA|2	BONUS:SKILL|Intimidate,Spot|2|TYPE=Racial	CR:1	LEVELADJUSTMENT:1																								
Draconic Creature (Animal)	VISIBLE:NO	SOURCEPAGE:Drac	PRERACE:1,RACETYPE=Animal		RACETYPE:Magical Beast	RACESUBTYPE:Augmented Animal	TEMPLATE:Augmented|Augmented (Animal)																																
Draconic Claw (Fine)	VISIBLE:NO	PRESIZEEQ:F	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1																																				
Draconic Claw (Diminutive)	VISIBLE:NO	PRESIZEEQ:D	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1																																				
Draconic Claw (Tiny)	VISIBLE:NO	PRESIZEEQ:T	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1																																				
Draconic Claw (Small)	VISIBLE:NO	PRESIZEEQ:S	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d2																																				
Draconic Claw (Medium)	VISIBLE:NO	PRESIZEEQ:M	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d3																																				
Draconic Claw (Large)	VISIBLE:NO	PRESIZEEQ:L	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4																																				
Draconic Claw (Huge)	VISIBLE:NO	PRESIZEEQ:H	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6																																				
Draconic Claw (Gargantuan)	VISIBLE:NO	PRESIZEEQ:G	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8																																				
Draconic Claw (Colossal)	VISIBLE:NO	PRESIZEEQ:C	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d10																																				
