SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																
###Block: Specific Armors																		
#Dragonarmor of Invincibility	COST:276350																	
#Armor of Dragonshape	COST:23165																	
#Armor of Mobility	COST:16160																	
#Dragondodger Armor	COST:165675																	
#Dragonrider Armor	COST:26150																	
																		
# Equipment Name			Type	Cost	Weight	AC Penalty Check	Modifier	Maximum DEX Bonus	Source Page	% of Spell Failure	Combat bonus	Special Property	Virtual Feat	Damage Reduction	Innate Spells	Bonus to skill	Modify VAR	Automaticaly Added to Inventory
Dragonarmor of Invincibility		PROFICIENCY:ARMOR|Barding (Heavy)	TYPE:Enhancement.Armor.Heavy.Specific.Barding.Mount	COST:1200	WT:50	ACCHECK:-7	EQMOD:STEEL.MWORKA.PLUS5A	MAXDEX:0	SOURCEPAGE:Drac	SPELLFAILURE:40	BONUS:COMBAT|AC|7|TYPE=Armor.REPLACE	BONUS:WEAPONPROF=TYPE.Natural|TOHIT|5|TYPE=Enhancement	BONUS:WEAPONPROF=TYPE.Natural|DAMAGE|5|TYPE=Enhancement					PRESIZEGTEQ:M
																		
# Equipment Name																		
Armor of Dragonshape (Black)	OUTPUTNAME:[NAME] Armor of Dragonshape	PROFICIENCY:ARMOR|Hide	TYPE:Enhancement.Armor.Medium.Suit.Specific.Nonmetal	COST:15	WT:25	ACCHECK:-3	EQMOD:MWORKA.DRAGCRFTA_MED.DRAGCRFTA_MET_BLK.PLUS3A	MAXDEX:4	SOURCEPAGE:Drac	SPELLFAILURE:20	BONUS:COMBAT|AC|3|TYPE=Armor.REPLACE	SPROP:You can change into a small or medium Black dragon|PREABILITY:1,CATEGORY=Special Ability,Wild Shape						
Armor of Dragonshape (Green)	OUTPUTNAME:[NAME] Armor of Dragonshape	PROFICIENCY:ARMOR|Hide	TYPE:Enhancement.Armor.Medium.Suit.Specific.Nonmetal	COST:15	WT:25	ACCHECK:-3	EQMOD:MWORKA.DRAGCRFTA_MED.DRAGCRFTA_MET_GRN.PLUS3A	MAXDEX:4	SOURCEPAGE:Drac	SPELLFAILURE:20	BONUS:COMBAT|AC|3|TYPE=Armor.REPLACE	SPROP:You can change into a small or medium Green dragon|PREABILITY:1,CATEGORY=Special Ability,Wild Shape						
Armor of Dragonshape (White)	OUTPUTNAME:[NAME] Armor of Dragonshape	PROFICIENCY:ARMOR|Hide	TYPE:Enhancement.Armor.Medium.Suit.Specific.Nonmetal	COST:15	WT:25	ACCHECK:-3	EQMOD:MWORKA.DRAGCRFTA_MED.DRAGCRFTA_MET_WHT.PLUS3A	MAXDEX:4	SOURCEPAGE:Drac	SPELLFAILURE:20	BONUS:COMBAT|AC|3|TYPE=Armor.REPLACE	SPROP:You can change into a small or medium White dragon|PREABILITY:1,CATEGORY=Special Ability,Wild Shape						
Armor of Dragonshape (Blue)	OUTPUTNAME:[NAME] Armor of Dragonshape	PROFICIENCY:ARMOR|Hide	TYPE:Enhancement.Armor.Medium.Suit.Specific.Nonmetal	COST:15	WT:25	ACCHECK:-3	EQMOD:MWORKA.DRAGCRFTA_MED.DRAGCRFTA_MET_BLU.PLUS3A	MAXDEX:4	SOURCEPAGE:Drac	SPELLFAILURE:20	BONUS:COMBAT|AC|3|TYPE=Armor.REPLACE	SPROP:You can change into a small or medium Blue dragon|PREABILITY:1,CATEGORY=Special Ability,Wild Shape						
Armor of Dragonshape (Red)	OUTPUTNAME:[NAME] Armor of Dragonshape	PROFICIENCY:ARMOR|Hide	TYPE:Enhancement.Armor.Medium.Suit.Specific.Nonmetal	COST:15	WT:25	ACCHECK:-3	EQMOD:MWORKA.DRAGCRFTA_MED.DRAGCRFTA_MET_RED.PLUS3A	MAXDEX:4	SOURCEPAGE:Drac	SPELLFAILURE:20	BONUS:COMBAT|AC|3|TYPE=Armor.REPLACE	SPROP:You can change into a small or medium Red dragon|PREABILITY:1,CATEGORY=Special Ability,Wild Shape						
Armor of Dragonshape (Copper)	OUTPUTNAME:[NAME] Armor of Dragonshape	PROFICIENCY:ARMOR|Hide	TYPE:Enhancement.Armor.Medium.Suit.Specific.Nonmetal	COST:15	WT:25	ACCHECK:-3	EQMOD:MWORKA.DRAGCRFTA_MED.DRAGCRFTA_CHR_COP.PLUS3A	MAXDEX:4	SOURCEPAGE:Drac	SPELLFAILURE:20	BONUS:COMBAT|AC|3|TYPE=Armor.REPLACE	SPROP:You can change into a small or medium Copper dragon|PREABILITY:1,CATEGORY=Special Ability,Wild Shape						
Armor of Dragonshape (Silver)	OUTPUTNAME:[NAME] Armor of Dragonshape	PROFICIENCY:ARMOR|Hide	TYPE:Enhancement.Armor.Medium.Suit.Specific.Nonmetal	COST:15	WT:25	ACCHECK:-3	EQMOD:MWORKA.DRAGCRFTA_MED.DRAGCRFTA_CHR_SIL.PLUS3A	MAXDEX:4	SOURCEPAGE:Drac	SPELLFAILURE:20	BONUS:COMBAT|AC|3|TYPE=Armor.REPLACE	SPROP:You can change into a small or medium Silver dragon|PREABILITY:1,CATEGORY=Special Ability,Wild Shape						
