SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net																																										
																																												
# BASICS																				[PREMULT:2,[PRERACE:1,RACESUBTYPE=Human],[PREREGION:1,Rashemen]]																								
# Feat Name	Type	visible	outputname	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page			
#Arcane Preparation																																												
Baleful Moan	TYPE:Monstrous	VISIBLE:YES				PREFEAT:1,Daunting Presence													PRERACE:1,RACESUBTYPE=Incorporeal	PRERACE:1,RACETYPE=Undead				DESC:Emit a terrifying moan.																	SOURCEPAGE:LM			
Bolster Resistance	TYPE:General	VISIBLE:YES				PREFEAT:1,Corpsecrafter																		DESC:Undead gain +4 turn resistance.																	SOURCEPAGE:LM			
Contagious Paralysis	TYPE:Monstrous	VISIBLE:YES																		PRETEXT:Paralysis as an extraordinary or supernatural ability				DESC:Paralysis spreads to those who touch target.																	SOURCEPAGE:LM			
Corpsecrafter	TYPE:General	VISIBLE:YES																						DESC:Undead gain +4 STR and +2 HP per HD.																	SOURCEPAGE:LM			
Corrupted Wild Shape	TYPE:Monstrous	VISIBLE:YES							PREABILITY:1,CATEGORY=Special Ability,TYPE.WildShape											PRERACE:1,RACETYPE=Undead				DESC:Undead druids retain ability to wild shape.																	SOURCEPAGE:LM			
Daunting Presence	TYPE:General.Fighter	VISIBLE:YES		PREATT:1											PRESTAT:1,CHA=13									DESC:Overawe enemy to make it shaken.																	SOURCEPAGE:LM			
Deadly Chill	TYPE:General	VISIBLE:YES				PREFEAT:1,Corpsecrafter																		DESC:Undead deal +1d6 cold damage on melee attacks.																	SOURCEPAGE:LM			
Death Master	TYPE:Monstrous	VISIBLE:YES		PREATT:1		PREFEAT:1,Daunting Presence									PRESTAT:1,CHA=13					PRERACE:1,RACETYPE=Undead				DESC:On your critical hit, target is also shaken.																	SOURCEPAGE:LM			
Destruction Retribution	TYPE:General	VISIBLE:YES				PREFEAT:1,Corpsecrafter																		DESC:Undead deal negative damage when killed.																	SOURCEPAGE:LM			
