SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net																																																																		
																																																																				
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells				
Angel of Decay			STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,50	FACE:10	REACH:10	VISION:Darkvision (60')		PREALIGN:CE	AUTO:LANG|Common|Abyssal		BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|26	BONUS:STAT|DEX|4		BONUS:STAT|INT|10	BONUS:STAT|WIS|10	BONUS:STAT|CHA|8			MONCSKILL:Concentration|Diplomacy|Hide|Knowledge (Arcana)|Listen|Move Silently|Search|Sense Motive|Spellcraft|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Wings,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Rotting Aura|Rotting Touch (Su)	ABILITY:Special Ability|AUTOMATIC|Unholy Grace					SR:24	DR:10/Adamantine and Magic		MONSTERCLASS:Undead:26	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead				HITDICEADVANCEMENT:36,63		CR:15	SOURCEPAGE:LM					
Atropal Scion			STARTFEATS:1	SIZE:M	MOVE:Fly,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:CE	AUTO:LANG|Common|Abyssal|Infernal|Celestial		BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|4		BONUS:STAT|INT|6	BONUS:STAT|WIS|12	BONUS:STAT|CHA|10			MONCSKILL:Listen|Knowledge (Arcana)|Knowledge (Religion)|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Death Gaze|Negative Energy Aura	ABILITY:Special Ability|AUTOMATIC|Fast Healing|Basic Turning|Rebuke Undead|Atropal Scion Rebuke Undead|Unholy Grace						DR:10/Adamantine		MONSTERCLASS:Undead:9	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead				HITDICEADVANCEMENT:13,27		CR:11	SOURCEPAGE:LM	SPELLS:Innate|TIMES=3|CASTERLEVEL=9|Animate Dead|Cone of Cold,13+CHA|Desecrate|Dispel Magic|Invisibility|Plane Shift|Speak with Dead|Teleport	BONUS:VAR|FastHealing|8			
Blaspheme			STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:NE	AUTO:LANG|Common		BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|18	BONUS:STAT|DEX|2		BONUS:STAT|INT|-6	BONUS:STAT|WIS|4				MONCSKILL:Listen|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Blasphemous Contact|Erratic Charge	ABILITY:Special Ability|AUTOMATIC|Inescapable Craving ~ Strength	ABILITY:Special Ability|AUTOMATIC|Immunity To Cold					DR:5/Slashing		MONSTERCLASS:Undead:18	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead				HITDICEADVANCEMENT:36		CR:9	SOURCEPAGE:LM					
Bleakborn			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:NE	AUTO:LANG|Common|Moilian		BONUS:COMBAT|AC|14|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12	BONUS:STAT|DEX|6		BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Diplomacy|Hide|Intimidate|Listen|Search|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Cold to the Touch|Create Spawn|Heat Draining Aura	ABILITY:Special Ability|AUTOMATIC|Contingent Healing|Diet Dipendent ~ Warmth|Fire Lover|Turn Resistance								MONSTERCLASS:Undead:8	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead				HITDICEADVANCEMENT:10		CR:7	SOURCEPAGE:LM		BONUS:VAR|ContingentHealing|10	BONUS:VAR|TurnResistBonus|2		
Blood Amniote				SIZE:H	MOVE:Walk,30,Climb,20	FACE:15	REACH:10	VISION:Blindsight (60')|Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|10			BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10												LEGS:0	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Blood Call	ABILITY:Special Ability|AUTOMATIC|Fast Healing|Inescapable Craving ~ Blood|Self Spawn|Ooze Traits						DR:10/-		MONSTERCLASS:Undead:10	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead|Mindless				HITDICEADVANCEMENT:15,30		CR:9	SOURCEPAGE:LM					
Swarm (Bloodmote Cloud)	OUTPUTNAME:[NAME]			SIZE:F	MOVE:Fly,20	FACE:10	REACH:0	VISION:Darkvision (60')		PREALIGN:NE									BONUS:STAT|STR|-6	BONUS:STAT|DEX|2				BONUS:STAT|CHA|-10						BONUS:WEAPONPROF=Swarm|DAMAGE|-1*(STR)						LEGS:0	HANDS:0				NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Blood Drain ~ Bloodmote Cloud|Distraction	ABILITY:Special Ability|AUTOMATIC|Diet Dipendent ~ Blood								MONSTERCLASS:Undead:10	RACETYPE:Undead	RACESUBTYPE:Swarm	TYPE:Undead	TEMPLATE:Undead|Mindless|Swarm						CR:6	SOURCEPAGE:LM					
Swarm (Bone Rat)	OUTPUTNAME:[NAME] Swarm			SIZE:T	MOVE:Walk,15,Climb,15	FACE:10	REACH:0	VISION:Darkvision (60')		PREALIGN:NE									BONUS:STAT|STR|-8	BONUS:STAT|DEX|6				BONUS:STAT|CHA|-10						BONUS:WEAPONPROF=Swarm|DAMAGE|-1*(STR)						LEGS:0	HANDS:0				NATURALATTACKS:Swarm,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Distraction		ABILITY:Special Ability|AUTOMATIC|Immunity To Cold					DR:5/Bludgeoning		MONSTERCLASS:Undead:4	RACETYPE:Undead	RACESUBTYPE:Swarm	TYPE:Undead	TEMPLATE:Undead|Mindless|Swarm						CR:3	SOURCEPAGE:LM					
Boneyard			STARTFEATS:1	SIZE:H	MOVE:Walk,20,Fly,60	FACE:15	REACH:10	VISION:Darkvision (60')		PREALIGN:CE	AUTO:LANG|Common|Abyssal|Terran		BONUS:COMBAT|AC|20|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|20	BONUS:STAT|DEX|4		BONUS:STAT|INT|8	BONUS:STAT|WIS|10	BONUS:STAT|CHA|8			MONCSKILL:Balance|Climb|Hide|Jump|Listen|Move Silently|Search|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d8		ABILITY:Special Ability|AUTOMATIC|Bone Subsumption|Improved Grab|Summon Skeleton (Su) ~ Boneyard|Utter Subsumption	ABILITY:Special Ability|AUTOMATIC|Fast Healing|Inescapable Craving ~ Bones	ABILITY:Special Ability|AUTOMATIC|Immunity To Cold				SR:24	DR:10/-		MONSTERCLASS:Undead:17	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead				HITDICEADVANCEMENT:25,51		CR:14	SOURCEPAGE:LM		BONUS:VAR|FastHealing|10			
Brain in a Jar			STARTFEATS:1	SIZE:T	MOVE:Fly,30	FACE:1	REACH:0	VISION:Blindsight (60')|Darkvision (60')			AUTO:LANG|Telepathy								DEFINE:LOCK.STR|10	BONUS:STAT|DEX|4		BONUS:STAT|INT|6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Diplomacy|Knowledge (History)|Knowledge (Psionics)|Knowledge (Religion)|Listen|Spot									LEGS:0	HANDS:0						ABILITY:Special Ability|AUTOMATIC|Mind Thrust|Basic Turning|Rebuke Undead|Brain in a Jar Rebuke Undead	ABILITY:Special Ability|AUTOMATIC|Madness|Turn Resistance								MONSTERCLASS:Undead:3	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead				HITDICEADVANCEMENT:9		CR:4	SOURCEPAGE:LM	SPELLS:Psionics|TIMES=3|CASTERLEVEL=10|Suggestion,13+CHA|Telekinesis,15+CHA	SPELLS:Psionics|TIMES=1|CASTERLEVEL=10|Dominate Person,15+CHA	BONUS:VAR|TelepathyRange|100	BONUS:VAR|TurnResistBonus|4	
Carcass Eater			STARTFEATS:1	SIZE:S	MOVE:Walk,30,Burrow,10	FACE:5	REACH:5	VISION:Low-Light		PREALIGN:TN			BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|4|TYPE=Racial				BONUS:STAT|STR|-2	BONUS:STAT|DEX|6	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-4			MONCSKILL:Hide|Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d2|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Blood Frenzy	ABILITY:Special Ability|AUTOMATIC|Scent								MONSTERCLASS:Animal:1	RACETYPE:Animal		TYPE:Animal	TEMPLATE:Animal				HITDICEADVANCEMENT:2		CR:1/2	SOURCEPAGE:LM					
