SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net											
													
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE	
# Class Name req	Requirements	FINE											
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		HASSUBSTITUTIONLEVEL	ALLOWBASECLASS	
# Class Name specast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	SPELLLIST							
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)			
CLASS:Death's Chosen	HD:10	TYPE:Prestige	ABB:Dec	MAXLEVEL:3	SOURCEPAGE:LM	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE				
CLASS:Death's Chosen	PRERACE:1,RACETYPE=Aberration,RACETYPE=Dragon,RACETYPE=Giant,RACETYPE=Humanoid,RACETYPE=Magical Beast,RACETYPE=Monstrous Humanoid	PREALIGN:LN,LE,TN,NE,CN,CE	PREATT:5	PRESKILL:1,Knowledge (Religion)=1	PRESKILL:1,Spot=2	PRETEXT:Must be accepted as a death's chosen by a sentient undead creature with at least as many hd as the character.							
CLASS:Death's Chosen	STARTSKILLPTS:2	CSKILL:TYPE.Craft|Diplomacy|Gather Information|Hide|Knowledge (Religion)|Listen|Move Silently|TYPE.Profession|Search|Spot											
#													
1				ABILITY:Special Ability|AUTOMATIC|Shield of The Master|Vigor of the Choosen									
2				ABILITY:Special Ability|AUTOMATIC|Will of the Choosen									
3				ABILITY:Special Ability|AUTOMATIC|Bravery of the Choosen|Unnatural Aura									
#													
CLASS:Dirgesinger	HD:6	TYPE:Prestige	ABB:Dir	MAXLEVEL:5	SOURCEPAGE:LM	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE				
CLASS:Dirgesinger	PREALIGN:LN,LE,TN,NE,CN,CE	PRESKILL:1,Knowledge (Religion)=4	PRESKILL:1,TYPE.Perform=8	PREFEAT:1,Requiem	PREABILITY:1,CATEGORY=Special Ability,Bardic Music								
CLASS:Dirgesinger	STARTSKILLPTS:4	CSKILL:Bluff|Concentration|TYPE.Craft|Diplomacy|Intimidate|Knowledge (History)|Knowledge (Religion)|Listen|TYPE.Perform|Sense Motive|Speak Language											
