SOURCELONG:Gozzilioni	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net															
#duplication of the line for adding the bonus not written n the articles but present in the original template in  rsrd_template.lst																	
# Class Name	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Willpower)	Combat bonus	EXCLASS	FINE						
# Class Name	Requirements	FINE															
# Class Name	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE								
# Class Name	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)												
#(level number)	ADD:SPELLCASTER o CAST	AUTO:WEAPONPROF	(FEATAUTO)	ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|	(DOMAIN)	(BONUS)			(DEFINE)							
CLASS:Vampire		TYPE:PC.Monster.Template	ABB:Vmp	MAXLEVEL:8	SOURCEPAGE:SP												
CLASS:Vampire	!PRETEMPLATE:1|Vampire	PRERACE:1,RACETYPE=Humanoid,RACETYPE=Monstrous Humandoid															
CLASS:Vampire	STARTSKILLPTS:0																
1	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Vampire;LEVEL=1|-1|PRERACE:1,RACESUBTYPE=Human	AUTO:FEAT|Alertness|Dodge	ABILITY:Special Ability|AUTOMATIC|Blood Drain (Lesser) ~ Vampire|Resistances ~ Vampire|Spawn Slavery ~ Vampire|Spider Climb ~ VAMPIRE TEMPLATE	TEMPLATE:Assign Subtype ~ Vampire												
2	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Vampire;LEVEL=2|-1|PRERACE:1,RACESUBTYPE=Human	AUTO:FEAT|Improved Initiative|Lightning Reflexes	ABILITY:Special Ability|AUTOMATIC|Blood Drain (Moderate) ~ Vampire|Fortification|Skills ~ Vampire			BONUS:STAT|STR|2	BONUS:VAR|FortificationPower|1	BONUS:VAR|VampireSkills|(CL/2)*2								
3	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Vampire;LEVEL=3|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Coffin Sanctuary (Lesser) ~ Vampire|Dominate (Lesser) ~ Vampire|Gaseous Form (Lesser) ~ Vampire	TEMPLATE:CHOOSE:Slam (Fine)|Slam (Diminutive)|Slam (Tiny)|Slam (Small)|Slam (Medium)|Slam (Large)|Slam (Huge)|Slam (Gargantuan)|Slam (Colossal)		BONUS:STAT|CHA|2	BONUS:VAR|VampireResistances|5	BONUS:VAR|DominatePerDay|1	BONUS:VAR|GaseousFormPerDay|1							
4	BONUS:HP|CURRENTMAX|-CON	BONUS:SKILLPOOL|CLASS.Vampire;LEVEL=4|-1|PRERACE:1,RACESUBTYPE=Human		ABILITY:Special Ability|AUTOMATIC|Blood Drain ~ VAMPIRE TEMPLATE|Alternate Form|Vampire Aversions ~ Vampire			BONUS:STAT|STR|2	BONUS:VAR|DominatePerDay|2	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.STACK								
