SOURCELONG:Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net	

STARTPACK:Starting Gold ~ Barbarian	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Barbarian
FUNDS:gp	QTY:10*roll("4d4")		

STARTPACK:Starting Gold ~ Bard	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Bard
FUNDS:gp	QTY:10*roll("4d4")		

STARTPACK:Starting Gold ~ Cleric	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Cleric
FUNDS:gp	QTY:10*roll("5d4")		

STARTPACK:Starting Gold ~ Druid	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Druid
FUNDS:gp	QTY:10*roll("2d4")		

STARTPACK:Starting Gold ~ Fighter	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Fighter
FUNDS:gp	QTY:10*roll("6d4")		

STARTPACK:Starting Gold ~ Monk	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Monk
FUNDS:gp	QTY:roll("5d4")		

STARTPACK:Starting Gold ~ Paladin	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Paladin
FUNDS:gp	QTY:10*roll("6d4")		

STARTPACK:Starting Gold ~ Ranger	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Ranger
FUNDS:gp	QTY:10*roll("6d4")		

STARTPACK:Starting Gold ~ Rogue	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Rogue
FUNDS:gp	QTY:10*roll("5d4")		

STARTPACK:Starting Gold ~ Sorcerer	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Sorcerer
FUNDS:gp	QTY:10*roll("3d4")		

STARTPACK:Starting Gold ~ Wizard	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Wizard
FUNDS:gp	QTY:10*roll("3d4")		

STARTPACK:Starting Gold ~ Adept	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Adept
FUNDS:gp	QTY:10*roll("2d4")		

STARTPACK:Starting Gold ~ Aristocrat	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Aristocrat
FUNDS:gp	QTY:10*roll("6d8")		

STARTPACK:Starting Gold ~ Commoner	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Commoner
FUNDS:gp	QTY:roll("5d4")		

STARTPACK:Starting Gold ~ Expert	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Expert
FUNDS:gp	QTY:10*roll("3d4")		

STARTPACK:Starting Gold ~ Warrior	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Warrior
FUNDS:gp	QTY:10*roll("3d4")		

STARTPACK:Starting Gold ~ Hexblade	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Hexblade
FUNDS:gp	QTY:10*roll("6d4")		

STARTPACK:Starting Gold ~ Samurai	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Samurai
FUNDS:gp	QTY:10*roll("2d4")		

STARTPACK:Starting Gold ~ Swashbuckler	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Swashbuckler
FUNDS:gp	QTY:10*roll("6d4")		

#
#
#

STARTPACK:Starting Gold ~ Scout	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Scout
FUNDS:gp	QTY:10*roll("5d4")		

STARTPACK:Starting Gold ~ Spellthief	VISIBLE:QUALIFY	EQUIPBUY:0	PRECLASS:1,Spellthief
FUNDS:gp	QTY:10*roll("4d4")		
