SOURCELONG:Gozzilioni	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																
#																																		
Golem Manual (Calzone)											OUTPUTNAME:[NAME] Golem Manual	TYPE:Magic.Wondrous.Book.Consumable											COST:10000	WT:5										SOURCEPAGE:G, Something's Cooking
#																																		
Laboratory (Glass Golem)						TYPE:Goods.Tools.Construct	COST:500		WT:40		SOURCEPAGE:MM2																							
#																																		
#Golem ()			OUTPUTNAME:[Name] Golem	TYPE:Construct.Container	COST:0	SIZE:	WT:0	SOURCEPAGE:G		SPROP:DC 15, .																								
Golem (Calzone)			OUTPUTNAME:[Name] Golem	TYPE:Construct.Container	COST:10000	SIZE:M	WT:200	SOURCEPAGE:G, Something's Cooking		SPROP:Profession (Cook) DC 15, 250 Exp, Burning Hands, Grease, Major Creation and Stinking Cloud.	CONTAINS:UNLIM|Any																							
Golem (Dragonbone)			OUTPUTNAME:[Name] Golem	TYPE:Construct.Container	COST:115000	SIZE:L	WT:0	SOURCEPAGE:G		SPROP:Heal DC 20, Animate Dead, Cause Fear, Geas/Quest.	CONTAINS:UNLIM|Any																							
Golem (Drakestone)			OUTPUTNAME:[Name] Golem	TYPE:Construct.Container	COST:175000	SIZE:L	WT:3000	SOURCEPAGE:G		SPROP:Craft (Sculpting or Masonry) DC 25, Animate Objects, Antimagic Field, Flesh to Stone, Geas/Quest.	CONTAINS:UNLIM|Any																							
Golem (Ironwyrm)			OUTPUTNAME:[Name] Golem	TYPE:Construct.Container	COST:225000	SIZE:L	WT:5000	SOURCEPAGE:G		SPROP:Craft (Armorsmithing or Weaponsmithing) DC 30, Animate Objects, Antimagic Field, Geas/Quest, Incendiary Cloud, Limited Wish.	CONTAINS:UNLIM|Any																							
Golem (Ice)			OUTPUTNAME:[Name] Golem	TYPE:Construct.Container	COST:60000	SIZE:L	WT:2000	SOURCEPAGE:G		SPROP:Craft (Sculpting) DC 15, Ice Shape, Wall of Ice and Animate Snow and Ice or cone of Ice.	CONTAINS:UNLIM|Any																							
Golem (Grave Dirt)			OUTPUTNAME:[Name] Golem	TYPE:Construct.Container	COST:36500	SIZE:L	WT:800	SOURCEPAGE:G		SPROP:Craft (Sculpting) DC 15, Animate Objects, Commune, Resurrection.	CONTAINS:UNLIM|Any																							
Golem (Tombstone)			OUTPUTNAME:[Name] Golem	TYPE:Construct.Container	COST:135000	SIZE:L	WT:2000	SOURCEPAGE:G		SPROP:Craft (Sculpting or Masonry) DC 17, Antimagic Field,Geas/Quest, Slay Living.	CONTAINS:UNLIM|Any																							
Golem (Gemstone/Ruby)			OUTPUTNAME:Ruby Gemstone Golem	TYPE:Construct.Container	COST:65000	SIZE:L	WT:3000	SOURCEPAGE:G		SPROP:Craft (Gemworking) or Heal DC 15, Limited Wish, Move Earth, Polymorph any Object, Stone Shape.	CONTAINS:UNLIM|Any																							
Golem (Emerald/Ruby)			OUTPUTNAME:Emerald Gemstone Golem	TYPE:Construct.Container	COST:70000	SIZE:L	WT:3000	SOURCEPAGE:G		SPROP:Craft (Gemworking) or Heal DC 15, Dimensional Anchor,Polymorph any object, Stone Shape, Teleportation Circle.	CONTAINS:UNLIM|Any																							
Golem (Diamond/Ruby)			OUTPUTNAME:Diamond Gemstone Golem	TYPE:Construct.Container	COST:75000	SIZE:L	WT:3000	SOURCEPAGE:G		SPROP:Craft (Gemworking) or Heal DC 16, Dispel Magic, Limited Wish, Polymorph any Object, Stone Shape, Sunbeam.	CONTAINS:UNLIM|Any																							
Golem (Thayan)			OUTPUTNAME:[Name] Golem	TYPE:Construct.Container	COST:0	SIZE:M	WT:0	SOURCEPAGE:G	PREREGION:Thay		CONTAINS:UNLIM|Any																							
Golem (Blood)			OUTPUTNAME:[Name] Golem	TYPE:Construct.Container	COST:50000	SIZE:L	WT:0	SOURCEPAGE:G		SPROP:Heal DC 15, Animate Objects, Bull's Strength, Gentle Repose, Heal.	CONTAINS:UNLIM|Any																							
Golem (Brain)			OUTPUTNAME:[Name] Golem	TYPE:Construct.Container	COST:55000	SIZE:L	WT:0	SOURCEPAGE:G		SPROP:Heal DC 15, Bull's Strength, Feeblemind, Geas/Quest, Limited Wish.	CONTAINS:UNLIM|Any																							
