SOURCELONG:DandD Wiki	SOURCESHORT:ddw	SOURCEWEB:http://www.dandwiki.com																																												
																																														
# BASICS																																														
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page					
Leadership.MOD	!PREFEAT:1,TYPE=Leadership																																													
#																																														
Divine Leadership	TYPE:General.Leadership	VISIBLE:YES	SERVESAS:ABILITY=FEAT|Leadership		PRECLASS:1,Cleric=1,Paladin=1,Favored Soul=1					PRELEVEL:MIN=6		PRESKILL:1,Knowledge (Religion)=4										ABILITY:Special Ability|AUTOMATIC|Leadership Score		DESC:You attract followers and a cohort as if you had taken the Leadership feat. Your leadership score is treated as 2 higher than it otherwise would be for the purposes of attracting cleric, paladin or favoured soul followers and treated as 4 lower than it otherwise would be for the purposes of attracting other followers. Special: A cleric with this feat adds their Wisdom modifier to their leadership score instead of their Charisma modifier.														BONUS:VAR|LeadershipMaxCohortLvl|min((TL-2),(((LeadershipScore+6)*7)/10)-4)			SOURCEPAGE:ddw	DEFINE:LeadershipMaxCohortLvl|0	DEFINE:LeadershipScore|0	BONUS:VAR|LeadershipScore|(TL+WIS)		
Apprenticeship	TYPE:General	VISIBLE:YES										PRESKILL:1,Knowledge (The Planes)=2												DESC:While the race of a mentor is usually irrelevant, some mentors draw their knowledge and experience solely from their racial heritage and the magical radiations of their home plane.																	SOURCEPAGE:ddw					
Brutish	TYPE:General	VISIBLE:YES									PRELEVEL:MAX=1													DESC:Your Strength score begins 1 higher and you gain a +1 bonus to all Str-based skill checks.																	SOURCEPAGE:ddw	BONUS:SKILL|STAT.STR|1	BONUS:STAT|STR|1			
Cadaverous Familiar	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Summon Familiar							PRESPELL:1,Animate Dead											DESC:With this feat, the familiar ritual is performed on the animated skeleton or zombie of a type of animal that can normally become a familiar. The familiar ceremony works normally, except that the creature is not actually summoned, and must be present and under your control. A skeletal or zombie familiar is just as intelligent as any other familiar. You still get the bonuses associated with that type of (living) familiar. As an undead creature, the cadaverous familiar can be turned or rebuked, but remember that it's hit dice is equal to your level.														DEFINE:CadaverousFamiliar|0			SOURCEPAGE:ddw	BONUS:VAR|CadaverousFamiliar|1				
Eldritch Focus	TYPE:Metamagic.Special	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Eldritch Blast																		DESC:+1 to attack rolls when using Eldrich Blast.														BONUS:VAR|EldritchBlastToHit|1			SOURCEPAGE:ddw					
Eldritch Specialization	TYPE:Metamagic.Special	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Eldritch Blast	PREFEAT:1,Eldritch Focus																	DESC:+2 to damage rolls when using Eldrich Blast.														BONUS:VAR|EldritchBlastDamage|2			SOURCEPAGE:ddw					
Eldritch Blood	TYPE:General	VISIBLE:YES			PRECLASS:1,Warlock=1																			DESC:Your magic is more difficult to dispel due to your strong connection to your magic. You get +2 on your caster level to resist dispel attempts for any invocation or arcane spell.														BONUS:VAR|EldritchBloodFeats|1			SOURCEPAGE:ddw	DEFINE:EldritchBloodFeats|0				
Eldritch Break	TYPE:General	VISIBLE:YES			PRECLASS:1,SPELLCASTER=9	PREABILITY:1,CATEGORY=Special Ability,Eldritch Blast	PREFEAT:1,Eldritch Blood																	DESC:You can pierce SR easier with your eldritch blast and any ray spells. The bonus is equal to 1 + the number of eldritch blood related feats you have, including eldritch blood. For example, if you have Eldritch Blood, Eldritch Power, and Eldritch Break, you get a +4 to the caster level check to break spell resistance (bonus +%1)|EldritchBloodFeats														BONUS:VAR|EldritchBloodFeats|1			SOURCEPAGE:ddw					
Eldritch Flurry	TYPE:General	VISIBLE:YES		PREATT:6		PREFEAT:2,Eldritch Glaive,Eldritch Blood																		DESC:Your ability to make multiple attacks as a full attack action now spreads to your normal eldritch blast. You may make attacks up to your BAB at range, and may benefit from haste with your eldritch blast. All attacks must be made to targets within 30 ft of each other.														BONUS:VAR|EldritchBloodFeats|1			SOURCEPAGE:ddw					
# Eldritch Power	TYPE:General	VISIBLE:YES				PREFEAT:1,Eldritch Blood																		DESC:Your eldritch blast ability upgrades every 2 effective warlock levels even past 11th level, where warlock progression normally proceeds to upgrade at every 3 levels. This allows you to have 10d6 blast at level 20th. In addition, any ray spells from other classes or abilities deal an additional 1d6 damage. Rays which deal ability damage, such as enervation, instead deal 1d6 negative energy damage. Rays which do not deal damage have no effect.														BONUS:VAR|EldritchBloodFeats|1			SOURCEPAGE:ddw	BONUS:VAR|EldritchBlast|1				
Eldritch Power	TYPE:General	VISIBLE:YES				PREFEAT:1,Eldritch Blood																		DESC:Your eldritch blast ability inflicts 1d6 more damage.														BONUS:VAR|EldritchBloodFeats|1			SOURCEPAGE:ddw	BONUS:VAR|EldritchBlast|1				
Eldritch Skin	TYPE:General	VISIBLE:YES				PREFEAT:1,Eldritch Blood																		DESC:You gain DR 1/cold iron and magic. If you already have DR/cold iron, such as from warlock levels or feats, the DR increases by 1 and your DR becomes cold iron and magic, as your magic power shields you from harm.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|EldritchBloodFeats|1			SOURCEPAGE:ddw	BONUS:DR|Cold Iron and Magic|1	DR:1/Cold Iron and Magic			
Enhanced Companion	TYPE:General	VISIBLE:YES										PRESKILL:1,Handle Animal=1												DESC:Because you form a special bond with your animal companions, they benefit from a +2 Dodge bonus to Armor Class when they are within 60 feet of you.																	SOURCEPAGE:ddw	DEFINE:EnhancedCompanion|1				
Enhanced Turning	TYPE:General	VISIBLE:YES				PREFEAT:1,Extra Turning									PRESTAT:1,CHA=13									DESC:You deal an additional 1d6 turning damage on a successful turn/rebuke attempt.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ddw	BONUS:VAR|TurnDiceUndead|1				
Epic Invocation	TYPE:Epic	VISIBLE:YES			PRECLASS:1,Warlock=1						PRELEVEL:MIN=21													DESC:Gain 1 invocation from your class of the highest category ("Dark" for most classes), an invocation of lower category from any other class, or 2 invocations of lower category from your class.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ddw	BONUS:ABILITYPOOL|Warlock Epic Invocation|1				
Extra Familiar	TYPE:Special	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Summon Familiar																		DESC:Each time you take this feat, the number of familiars you are allowed increases by one. Special: This feat can be taken multiple times. Each time you take it, increase the number of familiars you are allowed by one. For every familiar lost, beyond the first, within the same year-and-a-day time frame, increase the Fort DC by 2 and double the XP loss.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ddw	BONUS:FOLLOWERS|Familiar|1				
Familiar Concentration	TYPE:Special	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Summon Familiar																		DESC:When you cast a spell that normally requires your concentration, you can let your familiar do the concentrating for you if it is within 5 ft. of you at the time of casting. Your familiar must remain within 5 ft. of you while concentrating to maintain your spell; otherwise your familiar's concentration is automatically broken. To maintain a certain spell, the familiar must have an Intelligence score of 5 + the level of the spell or higher.																	SOURCEPAGE:ddw					
Familiar Development	TYPE:Special	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Summon Familiar																		DESC:Your familiar's abilities are figured as if you were two levels higher. Special: This feat can be learned more than once and stacks with itself, each time raising your level by +2 when determining your familiar's special abilities.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|FamiliarLVL|2			SOURCEPAGE:ddw					
Familiar Feat	TYPE:Special	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Summon Familiar																		DESC:Your familiar learns any one new feat it can use. This new feat is unavailable to you. In many cases, familiars can learn feats you could not, such as monster feats. If your familiar dies any replacement will also know this extra feat, or a similar feat if the one taken is not available to it (e.g. your former familiar had a feat which required a Fly speed and you choose an earthbound replacement familiar).														BONUS:VAR|FamiliarFeat|1			SOURCEPAGE:ddw	DEFINE:FamiliarFeat|0				
Familiar Fortitude	TYPE:Special	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Summon Familiar																		DESC:You suffer no ill effects if one of your familiars dies. In addition you are not subject to the normal time period required before summoning a new familiar.																	SOURCEPAGE:ddw					
Famialir Range Extension	TYPE:Special	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Summon Familiar																		DESC:Your empathic communication with your familiar extends out to a range of ten miles.																	SOURCEPAGE:ddw					
Fell Power from Within	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Eldritch Blast																		DESC:You now use your Constitution modifier in place of your Charisma modifier when determining the save DCs of your invocations. In addition, when you use an invocation that grants a bonus equal to your Charisma modifier, you instead gain a bonus equal to your Constitution modifier.																	SOURCEPAGE:ddw	BONUS:VAR|InvocationDC|CON-CHA				
Gentle Palm	TYPE:General	VISIBLE:YES			PRECLASS:1,Monk=8	PREFEAT:4,Improved Unarmed Strike,Stunning Fist,Ki Strike,Combat Reflexes									PRESTAT:1,WIS=17									DESC:You must declare using this feat before your attack. You may spend 1 Stunning Fist to turn your unarmed attacks into touch attacks. Your strength bonus to damage is replaced with your wisdom bonus.																	SOURCEPAGE:ddw					
Glamorous	TYPE:General	VISIBLE:YES									PRELEVEL:MAX=1													DESC:Your Charisma score begins 1 higher and you gain a +1 bonus to all Cha-based skill checks.																	SOURCEPAGE:ddw	BONUS:SKILL|STAT.CHA|1	BONUS:STAT|CHA|1			
Great Alchemist	TYPE:General	VISIBLE:YES																						DESC:You get a +2 bonus on Craft (Alchemy) and Profession (herbalist) checks.																	SOURCEPAGE:ddw	BONUS:SKILL|Craft (Alchemy),Profession (Herbalist)|2				
Greater Eldritch Specialization	TYPE:Metamagic.Special	VISIBLE:YES			PRECLASS:1,Warlock=9	PREFEAT:2,Eldritch Focus (Greater),Eldritch Specialization	PREABILITY:1,CATEGORY=Special Ability,Eldritch Blast																	DESC:Additional +2 to damage roll. Stacks with other bonuses such as Eldrich Specialization.														BONUS:VAR|EldritchBlastDamage|2			SOURCEPAGE:ddw					
Greater Eldritch Focus	TYPE:Metamagic.Special	VISIBLE:YES			PRECLASS:1,Warlock=6	PREFEAT:1,Eldritch Focus	PREABILITY:1,CATEGORY=Special Ability,Eldritch Blast																	DESC:Additonal +1 to attack rolls when using Eldrich blast, stacks with Eldrich Focus.														BONUS:VAR|EldritchBlastToHit|1			SOURCEPAGE:ddw					
### TODO:Improved Draconic Familiar: missing list of dragons and levels at which they are accessible.																																									SOURCEPAGE:ddw					
# Draconic Familiar (Improved)	TYPE:General	VISIBLE:YES				PREFEAT:1,Draconic Familiar																		DESC:This feat allows you to keep any Chromatic of Metallic Dragon familiar reared by your character to remain with you until it reaches the Young Adult stage. You also gain access to Planar and Gem Dragons as familiars (At DM Discretion).																	SOURCEPAGE:ddw					
