SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net																																																																				
																																																																						
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells						
Elemental Grue (Chaggrin/Earth Grue)	OUTPUTNAME:Chaggrin (Earth Grue)		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Burrow,20	FACE:5	REACH:5	VISION:Darkvision (60')|Tremorsense (30')		PREALIGN:NE	LANGAUTO:Terran		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|6		BONUS:STAT|CON|6	BONUS:STAT|INT|-6		BONUS:STAT|CHA|-2			MONCSKILL:Hide|Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Immunity To Acid	ABILITY:Special Ability|AUTOMATIC|Sneak Attack|Chaggrin Sneak Attack								MONSTERCLASS:Elemental (Earth/Water):3	RACETYPE:Elemental		TYPE:Elemental	TEMPLATE:Elemental|Elemental Grue	TEMPLATE:Earth|Evil|Extraplanar			HITDICEADVANCEMENT:6,9		CR:2	SOURCEPAGE:CA							
Elemental Grue (Harginn/Fire Grue)	OUTPUTNAME:Harginn (Fire Grue)		STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:NE	LANGAUTO:Ignan		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|-2		BONUS:STAT|CHA|-2			MONCSKILL:Jump|Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Blur (Sp)|Breath Weapon ~ Fire Spray									MONSTERCLASS:Elemental (Air/Fire):3	RACETYPE:Elemental		TYPE:Elemental	TEMPLATE:Elemental|Elemental Grue	TEMPLATE:Fire|Evil|Extraplanar			HITDICEADVANCEMENT:6,9		CR:2	SOURCEPAGE:CA				DEFINE:BreathWeaponCone|30	DEFINE:BreathWeaponDice|2	DEFINE:BreathWeaponDC|12+CHA	DEFINE:BreathWeaponDamageDie|6
Elemental Grue (Ildriss/Air Grue)	OUTPUTNAME:Ildriss (Air Grue)		STARTFEATS:1	SIZE:M	MOVE:Fly,40	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:NE	LANGAUTO:Auran		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|6		BONUS:STAT|INT|-2		BONUS:STAT|CHA|-2			MONCSKILL:Listen|Move Silently|Spot									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Immunity To Electricity|Invisibility									MONSTERCLASS:Elemental (Air/Fire):3	RACETYPE:Elemental		TYPE:Elemental	TEMPLATE:Elemental|Elemental Grue	TEMPLATE:Air|Evil|Extraplanar			HITDICEADVANCEMENT:6,9		CR:2	SOURCEPAGE:CA		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|5				
Elemental Grue (Vardigg/Water Grue)	OUTPUTNAME:Vardigg (Water Grue)		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Swim,60	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:NE	LANGAUTO:Aquan		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Swim|8|TYPE=Racial				BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|-4		BONUS:STAT|CHA|-2			MONCSKILL:Hide|Listen|Spot|Swim									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Immunity To Cold|Breath Weapon ~ Water Jet|Water Grue Skill									MONSTERCLASS:Elemental (Earth/Water):3	RACETYPE:Elemental		TYPE:Elemental	TEMPLATE:Elemental|Elemental Grue	TEMPLATE:Water|Evil|Extraplanar			HITDICEADVANCEMENT:6,9		CR:2	SOURCEPAGE:CA				DEFINE:BreathWeaponLine|30	DEFINE:BreathWeaponDice|2	DEFINE:BreathWeaponDC|12+CHA	DEFINE:BreathWeaponDamageDie|6
Elemental Monolith (Air)	OUTPUTNAME:[NAME] Elemental Monolith		STARTFEATS:1	SIZE:G	MOVE:Fly,100	FACE:20	REACH:20	VISION:Darkvision (60')			LANGAUTO:Auran		BONUS:COMBAT|AC|14|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|22	BONUS:STAT|DEX|22	BONUS:STAT|CON|12	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Balance|Diplomacy|Intimidate|Jump|Listen|Sense Motive|Spot|Tumble									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,6d6		ABILITY:Special Ability|AUTOMATIC|Air Mastery|Whirlwind							DR:15/-		MONSTERCLASS:Elemental (Air/Fire):36	RACETYPE:Elemental		TYPE:Elemental	TEMPLATE:Elemental	TEMPLATE:Air|Extraplanar			HITDICEADVANCEMENT:54		CR:17	SOURCEPAGE:CA		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|5				
Elemental Monolith (Earth)	OUTPUTNAME:[NAME] Elemental Monolith		STARTFEATS:1	SIZE:G	MOVE:Walk,30	FACE:20	REACH:20	VISION:Darkvision (60')			LANGAUTO:Terran		BONUS:COMBAT|AC|21|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|32	BONUS:STAT|DEX|-4	BONUS:STAT|CON|14	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Diplomacy|Intimidate|Jump|Listen|Sense Motive|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,6d8		ABILITY:Special Ability|AUTOMATIC|Earth Mastery|Push|Earth Glide							DR:15/-		MONSTERCLASS:Elemental (Earth/Water):36	RACETYPE:Elemental		TYPE:Elemental	TEMPLATE:Elemental	TEMPLATE:Earth|Extraplanar			HITDICEADVANCEMENT:54		CR:17	SOURCEPAGE:CA							
Elemental Monolith (Fire)	OUTPUTNAME:[NAME] Elemental Monolith		STARTFEATS:1	SIZE:G	MOVE:Walk,60	FACE:20	REACH:20	VISION:Darkvision (60')			LANGAUTO:Ignan		BONUS:COMBAT|AC|14|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|22	BONUS:STAT|DEX|18	BONUS:STAT|CON|12	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Balance|Diplomacy|Intimidate|Jump|Listen|Sense Motive|Spot|Tumble									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,6d6		ABILITY:Special Ability|AUTOMATIC|Burn							DR:15/-		MONSTERCLASS:Elemental (Air/Fire):36	RACETYPE:Elemental		TYPE:Elemental	TEMPLATE:Elemental	TEMPLATE:Fire|Extraplanar			HITDICEADVANCEMENT:54		CR:17	SOURCEPAGE:CA							
Elemental Monolith (Water)	OUTPUTNAME:[NAME] Elemental Monolith		STARTFEATS:1	SIZE:G	MOVE:Walk,30,Swim,120	FACE:20	REACH:20	VISION:Darkvision (60')			LANGAUTO:Aquan		BONUS:COMBAT|AC|15|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Swim|8|TYPE=Racial				BONUS:STAT|STR|28	BONUS:STAT|DEX|12	BONUS:STAT|CON|14	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Diplomacy|Intimidate|Jump|Listen|Sense Motive|Spot|Swim									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,6d8		ABILITY:Special Ability|AUTOMATIC|Drench|Vortex|Water Mastery|Water Monolith Skill							DR:15/-		MONSTERCLASS:Elemental (Earth/Water):36	RACETYPE:Elemental		TYPE:Elemental	TEMPLATE:Elemental	TEMPLATE:Water|Extraplanar			HITDICEADVANCEMENT:54		CR:17	SOURCEPAGE:CA							
																																																																						
# Race Name																																																																						
