SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net										
#												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOS	FINE
# Class Name req	Requirements	FINE										
# Class Name 3	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	define class variables (DEFINE:variable|value	FINE			
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SA)	(SA)	(DOMAIN)	(BONUS)			(DEFINE)		
CLASS:Warlock	HD:6	TYPE:Base.PC	ABB:Wrl	MAXLEVEL:20	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE			
CLASS:Warlock	PREALIGN:LE,NE,CE,CG,CN											
CLASS:Warlock	STARTSKILLPTS:2	CSKILL:Bluff|Concentration|TYPE.Craft|Disguise|Intimidate|Jump|Knowledge (Arcana)|Knowledge (The Planes)|Knowledge (Religion)|TYPE.Profession|Sense Motive|Spellcraft|Use Magic Device										
CLASS:Warlock									BONUS:CASTERLEVEL|Warlock|CL			
#												
1		AUTO:FEAT|Simple Weapon Proficiency	ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|Warlock Eldritch Blast Proficiency									
1		AUTO:FEAT|Armor Proficiency (Light)										
#												
1				ABILITY:Special Ability|AUTOMATIC|Eldritch Blast|Warlock Eldritch Blast|Invocation|Warlock Invocation			BONUS:VAR|WarlockEldritchBlastLVL|CL	BONUS:ABILITYPOOL|Warlock Least Invocation|1	BONUS:VAR|WarlockInvocationLVL|CL			
2				ABILITY:Special Ability|AUTOMATIC|Detect Magic (Sp at will)			BONUS:VAR|DetectMagicWillLVL|CL	BONUS:ABILITYPOOL|Warlock Least Invocation|1				
3						DR:0/Cold Iron	BONUS:DR|Cold Iron|(CL+1)/4					
4				ABILITY:Special Ability|AUTOMATIC|Deceive Item				BONUS:ABILITYPOOL|Warlock Least Invocation|1				
5												
6								BONUS:ABILITYPOOL|Warlock Lesser Invocation|1				
7												
8				ABILITY:Special Ability|AUTOMATIC|Fiendish Resiliency				BONUS:ABILITYPOOL|Warlock Lesser Invocation|1				
9												
10				ABILITY:Special Ability|VIRTUAL|Warlock Energy Resistance				BONUS:ABILITYPOOL|Warlock Lesser Invocation|1	BONUS:ABILITYPOOL|Warlock Energy Resistance|2	BONUS:VAR|WarlockEnergyResistanceLVL|CL		
11								BONUS:ABILITYPOOL|Warlock Greater Invocation|1				
12				ABILITY:Special Ability|AUTOMATIC|Imbue Item								
13								BONUS:ABILITYPOOL|Warlock Greater Invocation|1				
14												
15								BONUS:ABILITYPOOL|Warlock Greater Invocation|1				
16								BONUS:ABILITYPOOL|Warlock Dark Invocation|1				
17												
18								BONUS:ABILITYPOOL|Warlock Dark Invocation|1				
19												
20								BONUS:ABILITYPOOL|Warlock Dark Invocation|1				
#												
CLASS:Warmage	HD:6	TYPE:Base.PC	ABB:Wrm	MAXLEVEL:20	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
#CLASS:Warmage												
CLASS:Warmage	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Intimidate|Knowledge (Arcana)|Knowledge (History)|TYPE.Profession|Spellcraft										
CLASS:Warmage	SPELLSTAT:CHA	SPELLTYPE:Arcane	MEMORIZE:NO	KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4|LEVEL=5|LEVEL=6|LEVEL=7|LEVEL=8|LEVEL=9	BONUS:CASTERLEVEL|Warmage|CL							
#												
1		AUTO:FEAT|Simple Weapon Proficiency	ABILITY:Special ability|AUTOMATIC|All Automatic Proficiencies									
1		AUTO:FEAT|Armor Proficiency (Light)										
1			ABILITY:Special ability|AUTOMATIC|Warmage Shield Proficiency									
#												
1	CAST:5,3			ABILITY:Special Ability|AUTOMATIC|Armored Mage|Edge|Warmage Edge			BONUS:VAR|ArmoredMagePower|1	BONUS:VAR|WarmageEdgeLVL|CL				
2	CAST:6,4											
3	CAST:6,5			ADD:ABILITY|Special Ability|VIRTUAL|Advanced Learning ~ Warmage								
4	CAST:6,6,3											
5	CAST:6,6,4											
6	CAST:6,6,5,3			ADD:ABILITY|Special Ability|VIRTUAL|Advanced Learning ~ Warmage								
7	CAST:6,6,6,4						BONUS:ABILITYPOOL|Warmage Sudden Ability|1					
8	CAST:6,6,6,5,3	AUTO:FEAT|Armor Proficiency (Medium)					BONUS:VAR|ArmoredMagePower|1					
9	CAST:6,6,6,6,4											
10	CAST:6,6,6,6,5,3						BONUS:ABILITYPOOL|Warmage Sudden Ability|1					
11	CAST:6,6,6,6,6,4			ADD:ABILITY|Special Ability|VIRTUAL|Advanced Learning ~ Warmage								
12	CAST:6,6,6,6,6,5,3											
13	CAST:6,6,6,6,6,6,4											
14	CAST:6,6,6,6,6,6,5,3											
15	CAST:6,6,6,6,6,6,6,4						BONUS:ABILITYPOOL|Warmage Sudden Ability|1					
16	CAST:6,6,6,6,6,6,6,5,3			ADD:ABILITY|Special Ability|VIRTUAL|Advanced Learning ~ Warmage								
17	CAST:6,6,6,6,6,6,6,6,4											
18	CAST:6,6,6,6,6,6,6,6,5,3											
19	CAST:6,6,6,6,6,6,6,6,6,4											
20	CAST:6,6,6,6,6,6,6,6,6,5						BONUS:ABILITYPOOL|Warmage Sudden Ability|1					
#												
CLASS:Wu Jen	HD:4	TYPE:Base.PC.Oriental	ABB:Wuj	MAXLEVEL:20	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			LANGBONUS:Draconic,Giant
CLASS:Wu Jen	PREALIGN:NG,TN,NE,CG,CN,CE											
CLASS:Wu Jen	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|TYPE.Knowledge|TYPE.Profession|Spellcraft										
CLASS:Wu Jen	SPELLSTAT:INT	SPELLTYPE:Arcane	SPELLBOOK:YES	KNOWNSPELLS:LEVEL=0	BONUS:CASTERLEVEL|Wu Jen|CL							
#												
1		AUTO:FEAT|Simple Weapon Proficiency	ABILITY:Special ability|AUTOMATIC|All Automatic Proficiencies									
#												
1	CAST:3,1			ABILITY:Special Ability|AUTOMATIC|Watchful Spirit|Wu Jen Watchful Spirit			BONUS:ABILITYPOOL|Metamagic Feat|1	BONUS:ABILITYPOOL|Taboo|1				
2	CAST:4,2											
3	CAST:4,2,1						BONUS:ABILITYPOOL|Spell Secret|1	BONUS:ABILITYPOOL|Taboo|1				
4	CAST:4,3,2											
5	CAST:4,3,2,1											
6	CAST:4,3,3,2						BONUS:ABILITYPOOL|Elemental Mastery|1					
7	CAST:4,4,3,2,1											
8	CAST:4,4,3,3,2											
9	CAST:4,4,4,3,2,1						BONUS:ABILITYPOOL|Spell Secret|1	BONUS:ABILITYPOOL|Taboo|1				
10	CAST:4,4,4,3,3,2											
11	CAST:4,4,4,4,3,2,1											
12	CAST:4,4,4,4,3,3,2						BONUS:ABILITYPOOL|Spell Secret|1	BONUS:ABILITYPOOL|Taboo|1				
13	CAST:4,4,4,4,4,3,2,1											
14	CAST:4,4,4,4,4,3,3,2											
15	CAST:4,4,4,4,4,4,3,2,1						BONUS:ABILITYPOOL|Spell Secret|1	BONUS:ABILITYPOOL|Taboo|1				
16	CAST:4,4,4,4,4,4,3,3,2											
17	CAST:4,4,4,4,4,4,4,3,2,1											
18	CAST:4,4,4,4,4,4,4,3,3,2						BONUS:ABILITYPOOL|Spell Secret|1	BONUS:ABILITYPOOL|Taboo|1				
19	CAST:4,4,4,4,4,4,4,4,3,3											
20	CAST:4,4,4,4,4,4,4,4,4,4											
