SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Absorption			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level or until expended	SAVEINFO:None	SPELLRES:No	DESC:You absorb targeted spell energy to power spells of your own	SOURCEPAGE:CA								
Accuracy			TYPE:Arcane			SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One thrown weapon/level touched or one projectile weapon touched		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:Doubles weapon's range increment	SOURCEPAGE:CA								
Aiming at the Target			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Abjuration			COMPS:S	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:Concentration, up to 20 minutes	SAVEINFO:None	SPELLRES:No	DESC:+10 bonus on Concentration checks for previously cast spell	SOURCEPAGE:CA								
Animate Fire			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Close	TARGETAREA:Up to a 5-ft cube of fire		DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Turn Small or smaller fire into animated object	SOURCEPAGE:CA								
Animate Water			TYPE:Divine	CLASSES:Druid=1		SCHOOL:Transmutation		DESCRIPTOR:Water	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Close	TARGETAREA:Up to a 5-ft cube of water		DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Turn Small or smaller quantity of water into animated object	SOURCEPAGE:CA								
Animate Wood			TYPE:Divine	CLASSES:Druid=1		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:One small or smaller wooden object		DURATION:Concentration, up to 1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Turn Small or smaller wooden intem into animated object	SOURCEPAGE:CA								
Anticipate Teleportation			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Abjuration			COMPS:V, S, F	CASTTIME:1 full round	RANGE:One willing creature touched	TARGETAREA:5-ft/level radius emanation from touched creature		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Predict and delay the arrival of creatures teleporting into range by 1 round	SOURCEPAGE:CA		COST:500						
Anticipate Teleportation (Greater)	OUTPUTNAME:Anticipate Teleportation, Greater		TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Abjuration			COMPS:V, S, F	CASTTIME:10 minutes	RANGE:One willing creature touched	TARGETAREA:5-ft/level radius emanation from touched creature		DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:Predict and delay the arrival of creatures teleporting into range by 3 round	SOURCEPAGE:CA		COST:1000						
Apparition			TYPE:Arcane			SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Fear|Mind-Affecting	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject face takes on terrifying appearance, viewers may becomes shaken	SOURCEPAGE:CA								
Arc of Lightning			TYPE:Arcane.Divine	CLASSES:Druid=4|Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Electricity	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A line between two creature		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:No	DESC:Line of electricity between two creatures (1d6/level damage)	SOURCEPAGE:CA								
