SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net										
#												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE
# Class Name req	Requirements	FINE										
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE			
# Class Name specast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	SPELLLIST						
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)		
CLASS:Acolyte of the Skin	HD:8	TYPE:PC.Prestige	ABB:Aos	MAXLEVEL:10	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE			
CLASS:Acolyte of the Skin	PREALIGN:LN,LE,TN,NE,CN,CE	PRESKILL:1,Knowledge (The Planes)=6	PRESPELLTYPE:1,Any=5	PRETEXT:Must have peacfull contact with a summoned Devil								
CLASS:Acolyte of the Skin	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|TYPE.Profession|Spellcraft										
1				ADD:ABILITY|Special Ability|VIRTUAL|Wear Skin	ABILITY:Special Ability|AUTOMATIC|Poison (Sp)		BONUS:VAR|PoisonLVL|CL	BONUS:VAR|PoisonPerDay|1				
2	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Resistance To Fire			BONUS:VAR|FireResistanceBonus|10					
3				ABILITY:Special Ability|AUTOMATIC|Fiendish Glare|Acolyte of the Skin Fiendish Glare			BONUS:VAR|AcolyteSkinFiendishGlareLVL|CL					
4	ADD:SPELLCASTER|ANY											
5				ABILITY:Special Ability|AUTOMATIC|Skin Adaptation				BONUS:VAR|PoisonPerDay|1				
6	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Resistance To Cold			BONUS:VAR|ColdResistanceBonus|10					
7				ABILITY:Special Ability|AUTOMATIC|Glare of the Pit|Acolyte of the Skin Glare of the Pit								
8	ADD:SPELLCASTER|ANY											
9				ABILITY:Special Ability|AUTOMATIC|Summon Fiend (Sp)|Acolyte of the skin Summon Fiend			BONUS:VAR|SummonFiendPerDay|1					
10	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Fiendish Symbiosis				TEMPLATE:Fiendish Symbiosis				
#												
CLASS:Alienist	HD:4	TYPE:PC.Prestige	ABB:Ali	MAXLEVEL:10	SOURCEPAGE:CA	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Alienist	PREALIGN:NG,TN,NE,CG,CN,CE	PRESKILL:1,Knowledge (The Planes)=8	PREFEAT:1,Augment Summoning	PRESPELLSCHOOL:1,Summoning=3	PRETEXT:Must have peacfull contact with an alienist or a pseudonatural creature							
CLASS:Alienist	STARTSKILLPTS:2	CSKILL:Concentration|Gather Information|TYPE.Knowledge|Listen|TYPE.Profession|Spellcraft|Spot										
1	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Summon Alien			BONUS:VAR|FamiliarLVL|CL					
2	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Alien Blessing								
3	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Metamagic Secret			BONUS:ABILITYPOOL|Metamagic Feat|1					
4	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Mad Certainty								
5	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Pseudonatural Familiar								
6	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Extra Summoning								
