SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net																											
																													
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose			
Tactical Precision			TYPE:Arcane	CLASSES:Bard=2		SCHOOL:Divination		DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which are more than 30 ft. Apart.		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Better coordinate your allies attacks. Gain +2 insight bonuses on melee attack and extra 1d6 points of damage aganist a flanked creature.	SOURCEPAGE:SpC											
Targeting Ray			TYPE:Arcane	CLASSES:Bard=1|Sorcerer, Wizard=1		SCHOOL:Divination			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Ray.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Ranged touch attack which grants you and your allies a +1 insight bonus per three caster levels on ranged attacks directed at the subject for the duration.	SOURCEPAGE:SpC											
Telepathic Aura			TYPE:Divine	CLASSES:Paladin=4		SCHOOL:Divination			COMPS:S, DF	CASTTIME:1 standard action	RANGE:100-ft.	TARGETAREA:100-ft-radius emanation centered on you.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You can mentally communicate with all allies in range.	SOURCEPAGE:SpC											
Telepathic Bond (Lesser)	OUTPUTNAME:Telepathic Bond, Lesser		TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=3		SCHOOL:Divination		DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:30-ft.	TARGETAREA:You and one willing creature within 30-ft.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Link with subject within 30 ft. for 10 minutes/level.	SOURCEPAGE:SpC											
Thornskin			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Sprout thorns from your skin that makes your unarmed deal lethal plus an extra 1d6 piercing damage on unarmed attacks.	SOURCEPAGE:SpC											
Thunderhead			TYPE:Arcane.Divine	CLASSES:Druid=1|Sorcerer,Wizard=1		SCHOOL:Evocation		DESCRIPTOR:Electricity	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:1 round/level	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Minature thundercloud follows creature unerringly each round [even if it goes invisible or leaves the region] striking it with lightning that deals 1 pt of damage.	SOURCEPAGE:SpC											
Thunderlance			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Force	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:0-ft.	TARGETAREA:A spealike beam.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Create a retractable spear or quarterstaff of force from 1 foot to 20 feet. Damage is 3d6 [Critx3]. Also may dispels force effect of 3rd or lower level.	SOURCEPAGE:SpC											
Thunderous Roar			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:20-ft-radius burst.		DURATION:Instantaneous	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:All creatures in the area take 1d6 sonic damage per two caster levels.	SOURCEPAGE:SpC											
Tidal Surge			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Evocation		DESCRIPTOR:Water	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature or all creatures in a 20-ft radius burst.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Creates a huge wave of water.	SOURCEPAGE:SpC											
Tiger's Tooth			TYPE:Divine	CLASSES:Druid=2		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 swift action	RANGE:Touch	TARGETAREA:Living creature touched.		DURATION:1 round	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:As magic fang.	SOURCEPAGE:SpC											
