SOURCELONG:Spell Compendium	SOURCESHORT:SpC	SOURCEWEB:http://www.gozzilioni.net																												
																														
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose				
Absorb Weapon			TYPE:Arcane	CLASSES:Assassin=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One touched weapon not in another creature's possession		DURATION:1 hour/level	SAVEINFO:Will negates (object); See text.	SPELLRES:Yes	DESC:You can harmlessy absorb a weapon you are touching into your arm.	SOURCEPAGE:SpC												
Absorption			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:10 minutes/level or until expended	SAVEINFO:None	SPELLRES:No	DESC:Spells and spell-like effects that target you are absorbed, their energy stored to power spells of your own.	SOURCEPAGE:SpC												
Abyssal Army			TYPE:Arcane.Divine	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Chaotic|Evil	COMPS:V, S	CASTTIME:10 minutes	RANGE:Medium	TARGETAREA:Two or more summoned creatures, no two of which are more than 30 ft. Apart.		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:This spell summons a pack of demons from the Abyss to serve you.	SOURCEPAGE:SpC												
Accelerated Movement			TYPE:Arcane.Divine	CLASSES:Bard=1|Ranger=1|Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:S, M	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You can move at your normal speed when using Balance, Climb, Hide, Move Silently and Tumble.	SOURCEPAGE:SpC												
Acid Breath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Conjuration	DESCRIPTOR:Acid	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:15-ft.	TARGETAREA:Cone-shaped burst.		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:You breath a cone of acid droplets dealing 1d6 acid damage / level.	SOURCEPAGE:SpC												
Acid Sheath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	COMPS:V, S, M, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You enclose yourself in a fluid sheath of acid that does not harm you. Dealing 2 acid damage/level (max 30) on who hit you.	SOURCEPAGE:SpC		COST:50										
Acid Storm			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Cylinder (20-ft radius, 20 ft high)		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:No	DESC:Acid rain deals 1d6 acid damage / level (max 15d6)	SOURCEPAGE:SpC		COST:10										
Aid (Mass)	OUTPUTNAME:Aid, Mass		TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One or more creatures, no two of which are more than 30 ft. Apart.		DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:+1 on attack rolls, +1 against fear, 1d8 + 1 hp/level (max +15) temporary hp.|!PRERULE:1,DisplayFullSpell	SOURCEPAGE:SpC												
Aiming at the Target			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Abjuration			COMPS:S	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You.		DURATION:Concentration, up to 20 minutes	SAVEINFO:None	SPELLRES:No	DESC:+10 circumstances bonus on Concentration checks to maintain concentration on another spell.	SOURCEPAGE:SpC												
Air Breathing			TYPE:Arcane.Divine	CLASSES:Cleric=3|Druid=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creatures touched.		DURATION:2 hours/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The creatures touched can breath air freely.	SOURCEPAGE:SpC												
Alarm (Greater)			TYPE:Arcane	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Abjuration			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:20-ft-radius emanation centered on a point in space.		DURATION:4 hours/level	SAVEINFO:None	SPELLRES:No	DESC:Wards an area for 4 hours/level, including coterminous and coexistent planes.	SOURCEPAGE:SpC		COST:100										
Align Fang			TYPE:Divine	CLASSES:Druid=2|Ranger=2		SCHOOL:Transmutation		DESCRIPTOR:Good|Evil|Lawful|Chaotic	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Make a creature's natural weapons good, evil, lawful or chaotic aligned as you choose.	SOURCEPAGE:SpC												
Align Fang (Mass)	OUTPUTNAME:Align Fang, Mass		TYPE:Divine	CLASSES:Druid=3|Ranger=3		SCHOOL:Transmutation		DESCRIPTOR:Good|Evil|Lawful|Chaotic	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level, no two of which are more than 30 ft. Apart.		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Make a creature's natural weapons good, evil, lawful or chaotic aligned as you choose.	SOURCEPAGE:SpC												
Allegro			TYPE:Divine	CLASSES:Bard=3		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 swift action	RANGE:20 ft.	TARGETAREA:20-ft-radius burst, centered on you.		DURATION:1 minute/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Each creature within the spell's area gains a 30-foot enhancement bonus to land speed, to a maximum of a double the creature's land speed.	SOURCEPAGE:SpC												
Amanuensis			TYPE:Arcane.Divine	CLASSES:Cleric=0|Sorcerer,Wizard=0		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Object or objects with writing.		DURATION:10 minutes/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:You cause writing from one sopurce to be copied into a book, paper or parchment.	SOURCEPAGE:SpC												
Amorphous Form			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Willing corporeal creature touched.		DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subject and gear becomes amorphous and oozelike.	SOURCEPAGE:SpC												
Amplify			TYPE:Divine	CLASSES:Bard=1		SCHOOL:Transmutation		DESCRIPTOR:Sonic	COMPS:S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:20-ft-radius emanation, centered on a creature, object or point in space.		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You cause an amplification of all sounds within the spell's area.	SOURCEPAGE:SpC												
Analyze Portal			TYPE:Arcane.Divine	CLASSES:Bard=3|Sorcerer,Wizard=3		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 minute	RANGE:60-ft.	TARGETAREA:Cone-shaped emanation from you to the extreme of the range.		DURATION:Concentration, up to 1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:Find a nearby portal and discover its properties.	SOURCEPAGE:SpC												
Anarchic Storm			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Chaotic|Water	COMPS:V, S, M, DF	CASTTIME:1 standard action	RANGE:20 ft.	TARGETAREA:Cylinder (20-ft radius, 20 ft high)		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Chaotic-aligned rain falls in 20-ft radius.	SOURCEPAGE:SpC												
