SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net																																																															
# Race Name	Output Name	Favored Class		Starting Feats	Size	Move	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells
#Dwarf																																																																	
Dwarf (Aquatic)		FAVCLASS:Fighter		STARTFEATS:1	SIZE:M	MOVE:Walk,20,Swim,20	FACE:5	REACH:5		UNENCUMBEREDMOVE:HeavyLoad|HeavyArmor		AUTO:LANG|Common|Dwarven|Aquan	LANGBONUS:Giant,Gnome,Goblin,Orc,Terran,Undercommon							BONUS:STAT|STR|2	BONUS:STAT|DEX|-4	BONUS:STAT|CON|2			BONUS:STAT|CHA|-2																			ABILITY:Internal|AUTOMATIC|Dwarf Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Dwarf|Aquatic	TYPE:PC						LEVELADJUSTMENT:1	CR:1/2	SOURCEPAGE:UA	
#Elf																																																																	
Elf (Aquatic)		FAVCLASS:Wizard		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Swim,30	FACE:5	REACH:5				AUTO:LANG|Common|Elven|Aquan	LANGBONUS:Draconic,Gnoll,Gnome,Goblin,Orc,Sylvan								BONUS:STAT|DEX|2	BONUS:STAT|CON|-2																						ABILITY:Internal|AUTOMATIC|Elf Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Elf|Aquatic	TYPE:PC						LEVELADJUSTMENT:1	CR:1/2	SOURCEPAGE:UA	
#Gnome																																																																	
Gnome		FAVCLASS:Bard		STARTFEATS:1	SIZE:S	MOVE:Walk,20,Swim,20	FACE:5	REACH:5				AUTO:LANG|Common|Gnome|Aquan	LANGBONUS:Draconic,Dwarven,Elven,Giant,Goblin,Orc							BONUS:STAT|STR|-2		BONUS:STAT|CON|2																						ABILITY:Internal|AUTOMATIC|Gnome Racial Trait Default|Gnome Aquatic Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Gnome	TYPE:PC						LEVELADJUSTMENT:1	CR:1/2	SOURCEPAGE:UA	
#Goblin																																																																	
Goblin.MOD																																																								TYPE:PC									
Goblin (Aquatic)		FAVCLASS:Rogue		STARTFEATS:1	SIZE:S	MOVE:Walk,30,Swim,30	FACE:5	REACH:5	VISION:Darkvision (60')			AUTO:LANG|Common|Goblin|Aquan	LANGBONUS:Draconic,Elven,Giant,Gnoll,Orc							BONUS:STAT|STR|-2	BONUS:STAT|DEX|2				BONUS:STAT|CHA|-2																			ABILITY:Internal|AUTOMATIC|Goblin Racial Trait Default|Goblin Aquatic Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Goblinoid	TYPE:PC						LEVELADJUSTMENT:1	CR:1/2	SOURCEPAGE:UA	
# Half-Elf																																																																	
Half-Elf (Aquatic)		FAVCLASS:HIGHESTLEVELCLASS		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Swim,40	FACE:5	REACH:5	VISION:Low-light			AUTO:LANG|Common|Elven|Aquan	LANGBONUS:ALL																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Half-Elf Racial Trait Default|Half-Elf Aquatic Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Human|Half-Elf|Elf|Aquatic	TYPE:PC						LEVELADJUSTMENT:1	CR:1/2	SOURCEPAGE:UA	
#Half-Orc																																																																	
Half-Orc (Aquatic)		FAVCLASS:Barbarian		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Swim,30	FACE:5	REACH:5	VISION:Darkvision (60')			AUTO:LANG|Common|Orc|Aquan	LANGBONUS:Abyssal,Draconic,Giant,Gnoll,Goblin							BONUS:STAT|STR|2			BONUS:STAT|INT|-2		BONUS:STAT|CHA|-2																			ABILITY:Internal|AUTOMATIC|Half-Orc Racial Trait Default|Half-Orc Aquatic Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Human|Half-Orc|Orc|Aquatic	TYPE:PC						LEVELADJUSTMENT:1	CR:1/2	SOURCEPAGE:UA	
# Halfling																																																																	
