SOURCELONG:Complete Adventurer	SOURCESHORT:CAd	SOURCEWEB:http://www.gozzilioni.net
		
#Teleport	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine
Accelerated Movement.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Alarm.MOD	CLASSES:Vigilante=1	
Animate Rope.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Cause Fear.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Comprehend Languages.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Detect Magic.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Detect Secret Doors.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Disguise Self.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Distort Speech.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Erase.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Expeditious Retreat.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Expeditious Retreat (Swift).MOD	CLASSES:Vigilante=1	TYPE:Arcane
Feather Fall.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Ghost Sound.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Identify.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Joyful Noise.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Know Direction.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Mage Hand.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Magic Mouth.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Master's Touch.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Mending.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Message.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Nystul's Magic Aura.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Obscure Object.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Open/Close.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Prestidigitation.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Read Magic.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Remove Fear.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Resistance.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Silent Image.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Undetectable Alignment.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Ventriloquism.MOD	CLASSES:Vigilante=1	TYPE:Arcane
Alter Self.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Bladeweave.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Blindness/Deafness.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Blur.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Cat's Grace.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Detect Thoughts.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Eagle's Splendor.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Fly (Swift).MOD	CLASSES:Vigilante=2	TYPE:Arcane
Fox's Cunning.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Hypnotic Pattern.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Invisibility.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Invisibility (Swift).MOD	CLASSES:Vigilante=2	TYPE:Arcane
Iron Silence.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Locate Object.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Minor Image.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Mirror Image.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Misdirection.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Pyrotechnics.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Scare.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Silence.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Sonic Weapon.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Tactical Precision.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Tongues.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Whispering Wind.MOD	CLASSES:Vigilante=2	TYPE:Arcane
Allegro.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Blink.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Clairaudience/Clairvoyance.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Dispel Magic.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Displacement.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Fear.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Gaseous Form.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Glibness.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Haste.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Illusory Script.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Invisibility Sphere.MOD	CLASSES:Vigilante=3	TYPE:Arcane
Major Image.MOD	CLASSES:Vigilante=3	TYPE:Arcane
