SOURCELONG:Complete Adventurer	SOURCESHORT:CAd	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Absorb Weapon			TYPE:Divine			SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One touched weapon not in another creature's possession		DURATION:1 hour/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Accelerated Movement			TYPE:Arcane.Divine	CLASSES:Bard=1|Ranger=1|Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Allegro			TYPE:Divine	CLASSES:Bard=3		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:10-ft-radius burst, centered on you		DURATION:1 minute/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Arrow Mind			TYPE:Arcane.Divine	CLASSES:Ranger=1|Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V, S, M	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Arrow Storm			TYPE:Divine	CLASSES:Ranger=1		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Balancing Lorecall			TYPE:Arcane.Divine	CLASSES:Druid=2|Ranger=2|Sorcerer,Wizard=2		SCHOOL:Divination			COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Blade Storm			TYPE:Divine	CLASSES:Ranger=2		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Bladeweave			TYPE:Arcane.Divine	CLASSES:Bard=2|Sorcerer,Wizard=2		SCHOOL:Illusion	SUBSCHOOL:Pattern		COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:See Text	DESC:See text	SOURCEPAGE:CAd								
Bloodhound			TYPE:Divine	CLASSES:Ranger=1		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Branch to Branch			TYPE:Divine	CLASSES:Druid=2|Ranger=1		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Cacophonic Shield			TYPE:Arcane.Divine	CLASSES:Bard=6|Sorcerer,Wizard=7		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:10-ft-radius burst, centered on you		DURATION:1 minute/level	SAVEINFO:Fort partial	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Cloak of the Sea			TYPE:Arcane.Divine	CLASSES:Druid=5|Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Critical Strike			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Daggerspell Stance			TYPE:Arcane.Divine	CLASSES:Druid=2|Sorcerer,Wizard=2		SCHOOL:Abjuration			COMPS:V, F	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Dirge of Discord			TYPE:Divine	CLASSES:Bard=3		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Evil|Mind-Affecting	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:20-fr-radius spread		DURATION:Concentration + 1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Dissonant Chord			TYPE:Divine	CLASSES:Bard=3		SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:10-ft-radius burst, centered on you		DURATION:Instantaneous	SAVEINFO:Fort half	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Distort Speech			TYPE:Divine	CLASSES:Bard=1		SCHOOL:Transmutation		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Distract Assailant			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=1		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M	CASTTIME:1 swift action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
Divine Insight			TYPE:Divine	CLASSES:Cleric=2|Paladin=2		SCHOOL:Divination			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 hour/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:See text	SOURCEPAGE:CAd								
Easy Climb			TYPE:Divine	CLASSES:Ranger=2		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Vertical path 10-ft wide and 20-ft tall/level		DURATION:10 minutes/level	SAVEINFO:None (object)	SPELLRES:Yes	DESC:See text	SOURCEPAGE:CAd								
