SOURCELONG:Complete Adventurer	SOURCESHORT:CAd	SOURCEWEB:http://www.gozzilioni.net																																											
																																													
# BASICS																																													
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page				
Extra Trick	TYPE:General	VISIBLE:YES			PRECLASS:1,Animal=1,Animal (Will)=1,Animal (Dire)=1,Magical Beast=1										!PRESTAT:1,INT=3					PREABILITY:1,CATEGORY=Special Ability,TYPE=AnimalTrick				DESC:Trained Animal can know 3 additional tricks	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:CAd	SAB:% extra trick|ExtraTrick	DEFINE:ExtraTrick|0	BONUS:VAR|ExtraTrick|3	BONUS:ABILITYPOOL|Animal Trick|3
#																																									SOURCEPAGE:CAd				
Appraise Magic Value	TYPE:General	VISIBLE:YES										PRESKILL:3,Appraise=5,Knowledge (Arcana)=5,Spellcraft=5												DESC:Use appraise to determine magic item properties																	SOURCEPAGE:CAd				
Ascetic Hunter	TYPE:General	VISIBLE:YES				PREFEAT:1,Improved Unarmed Strike															PREVARGTEQ:FavoredEnemies,1			DESC:Monk and Ranger level stacks for unarmed strike damage, favored enemy bonus improves stunning DC							BONUS:UDAM|CLASS.Monk|CL=Ranger										SOURCEPAGE:CAd				
Ascetic Knight	TYPE:General	VISIBLE:YES				PREFEAT:2,Improved Unarmed Strike	PREABILITY:1,CATEGORY=Special Ability,Smite Evil																	DESC:Monk and Paladin levels stack for unarmed strike and smite evil damage							BONUS:UDAM|CLASS.Monk|CL=Paladin							BONUS:VAR|SmiteEvilDamage|MonkLVL			SOURCEPAGE:CAd				
Ascetic Mage	TYPE:General	VISIBLE:YES				PREFEAT:1,Improved Unarmed Strike							PRESPELLCAST:MEMORIZE=N	PRESPELLCAST:TYPE=Arcane										DESC:Monk and Sorcerer levels stack for AC bonus (CHA-based), sacrifice spell to gain bonus on unarmed strike									BONUS:COMBAT|AC|max(max(CHA,0),WIS)-WIS|PREVAREQ:ENCUMBERANCE,0,var("COUNT[EQTYPE.ARMOR.EQUIPPED]"),0					BONUS:VAR|MonkACLVL|classlevel("Sorcerer")			SOURCEPAGE:CAd				
Ascetic Rogue	TYPE:General	VISIBLE:YES				PREFEAT:1,Improved Unarmed Strike	PREABILITY:1,CATEGORY=Special Ability,Sneak Attack																	DESC:Monk and Rogue levels stack for sneak attack damage, unarmed strike sneak attack gains improved stunning DC							BONUS:UDAM|CLASS.Monk|CL=Rogue										SOURCEPAGE:CAd				
Brachiation	TYPE:General	VISIBLE:YES										PRESKILL:2,Climb=4,Jump=4												DESC:Swing through trees at normal land speed																	SOURCEPAGE:CAd	MOVECLONE:Walk,Brachiation,*1			
Brutal Throw	TYPE:General.Fighter	VISIBLE:YES																						DESC:Use STR than DEX to attack rolls with thrown weapon									BONUS:COMBAT|TOHIT.RANGED|max(0,STR)-max(0,DEX)								SOURCEPAGE:CAd				
Combat Intuition	TYPE:General.Fighter	VISIBLE:YES		PREATT:5								PRESKILL:1,Sense Motive=4												DESC:+1 to attack opponent engaged in the preceding round																	SOURCEPAGE:CAd				
Danger Sense	TYPE:General	VISIBLE:YES				PREFEAT:1,Improved Initiative																		DESC:Reroll initiative once per day																	SOURCEPAGE:CAd				
Death Blow	TYPE:General	VISIBLE:YES		PREATT:2		PREFEAT:1,Improved Initiative																		DESC:Coup de grace as a standard action																	SOURCEPAGE:CAd				
Deft Opportunist	TYPE:General	VISIBLE:YES				PREFEAT:1,Combat Reflexes									PRESTAT:1,DEX=15									DESC:+4 bonus on attack rolls on attacks of opportunity																	SOURCEPAGE:CAd				
Deft Strike	TYPE:General	VISIBLE:YES				PREFEAT:2,Combat Expertise	PREABILITY:1,CATEGORY=Special Ability,Sneak Attack					PRESKILL:1,Spot=10			PRESTAT:1,INT=13									DESC:Ignore armor and natural armor																	SOURCEPAGE:CAd				
Devoted Inquisitor	TYPE:General	VISIBLE:YES					PREABILITY:2,CATEGORY=Special Ability,Smite Evil,Sneak Attack																	DESC:Use smite evil and sneak attack together to daze foe																	SOURCEPAGE:CAd	SAB:Daze for 1 round if both Sneak attack and Smite Evil ability hit a foe (Will DC %)|DevotedInquisitorDC	DEFINE:DevotedInquisitorDC|10+CHA	BONUS:VAR|DevotedInquisitorDC|TL	
Devoted Performer	TYPE:General	VISIBLE:YES					PREABILITY:2,CATEGORY=Special Ability,Bardic Music,Smite Evil																	DESC:Paladin and Bard levels stack for smite evil and bardic music														BONUS:VAR|SmiteEvilDamage|BardicMusicLvl			SOURCEPAGE:CAd	BONUS:VAR|BardicMusicTimes|PaladinSmiteEvilLVL			
Devoted Tracker	TYPE:General	VISIBLE:YES				PREFEAT:1,Track	PREABILITY:2,CATEGORY=Special Ability,Smite Evil,Wild Empathy																	DESC:Special mount become animal companion, and paladin and ranger levels stack for smite evil and wild empathy														BONUS:VAR|SmiteEvilDamage|classlevel("Ranger")			SOURCEPAGE:CAd	BONUS:VAR|WildEmpathy|classlevel("Paladin")			
Disguise Sepll	TYPE:General	VISIBLE:YES						PREABILITY:1,CATEGORY=Special Ability,Bardic Music					PRESKILL:1,TYPE.Perform=9											DESC:Cast spells unobtrusively as part of performance																	SOURCEPAGE:CAd				
Dive For Cover	TYPE:General	VISIBLE:YES																		PRECHECKBASE:1,Reflex=4				DESC:Make one retry on failed Reflex save, but end up prone																	SOURCEPAGE:CAd				
Dual Strike	TYPE:General.Fighter	VISIBLE:YES				PREFEAT:2,Improved Two-Weapon Fighting,Two-Weapon Fighting																		DESC:Attack once with each hand as a standard action																	SOURCEPAGE:CAd				
Expert Tactician	TYPE:General	VISIBLE:YES		PREATT:2		PREFEAT:1,Combat Reflexes									PRESTAT:1,DEX=13									DESC:All allies gain +2 attack and damage bonus for a round against a target you've hit with an attack of opportunity																	SOURCEPAGE:CAd				
Extra Music	TYPE:General	VISIBLE:YES							PREABILITY:1,CATEGORY=Special Ability,Bardic Music															DESC:Gain 4 uses per day of bardic music	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|BardicMusicTimes|4			SOURCEPAGE:Cad				
Extraordinary Concentration	TYPE:General	VISIBLE:YES										PRESKILL:1,Concentration=15												DESC:Concentrate on a spell as a move action or swift action																	SOURCEPAGE:CAd				
Extraordinary Spell Aim	TYPE:General	VISIBLE:YES										PRESKILL:1,Spellcraft=15												DESC:Exclude one creature from spell area																	SOURCEPAGE:CAd				
Force of Personality	TYPE:General	VISIBLE:YES													PRESTAT:1,CHA=13									DESC:Add CHA modifier, rather than WIS modifier, to Will saves								BONUS:CHECKS|Will|max(WIS,CHA)-WIS									SOURCEPAGE:CAd				
Goad	TYPE:General.Fighter	VISIBLE:YES		PREATT:1											PRESTAT:1,CHA=13									DESC:Causes target to attack only you																	SOURCEPAGE:CAd				
Green Ear	TYPE:General	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Bardic Music					PRESKILL:1,TYPE.Perform=10									PREVARGTEQ:BardicMusicTimes,1			DESC:Affect plants with your bardic music ability																	SOURCEPAGE:CAd				
Hear The Unseen	TYPE:General	VISIBLE:YES				PREFEAT:1,Blind-Fight						PRESKILL:1,Listen=5												DESC:Pinpoint a target's location by sound, not sight																	SOURCEPAGE:CAd				
Improved Diversion	TYPE:General.Fighter	VISIBLE:YES										PRESKILL:1,Bluff=4												DESC:Use Bluff to create a diversion, then hide as a move action																	SOURCEPAGE:CAd				
Improved Flight	TYPE:General	VISIBLE:YES																		PRETEXT:Ability to fly (naturally, magically or trough shapechange)				DESC:Flight maneuverability improves by one step																	SOURCEPAGE:CAd				
Improved Swimming	TYPE:General	VISIBLE:YES										PRESKILL:1,Swim=6												DESC:Double your swimming speed																	SOURCEPAGE:CAd				
Insightful Reflexes	TYPE:General	VISIBLE:YES																						DESC:Add INT modifier, rather than DEX modifier, to Reflex saves								BONUS:CHECKS|Reflex|max(DEX,INT)-DEX									SOURCEPAGE:CAd				
Jack of All Trade	TYPE:General	VISIBLE:YES													PRESTAT:1,INT=13									DESC:Use any skill, even Trained Only ones																	SOURCEPAGE:CAd				
Leap Attack	TYPE:General	VISIBLE:YES				PREFEAT:1,Power Attack						PRESKILL:1,Jump=8												DESC:Doubles damage by Power Attack on succesful charge																	SOURCEPAGE:CAd				
Lingering Song	TYPE:General	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Bardic Music														PREVARGTEQ:BardicMusicTimes,1			DESC:Extend the duration of your bardic music effects																	SOURCEPAGE:CAd				
Mobile Casting Spell	TYPE:General	VISIBLE:YES										PRESKILL:1,Concentration=8												DESC:Cast a spell and move at the same time																	SOURCEPAGE:CAd				
Natural Bond	TYPE:General	VISIBLE:YES																						DESC:Add +3 to effective druid leven when determining animal companion's abilities														BONUS:VAR|AnimalCompanionLVL|min(3,classlevel("Druid")-AnimalCompanionLVL)			SOURCEPAGE:CAd				
Obscure Lore	TYPE:General	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,TYPE=Lore																	DESC:Gain +4 bonus on bardic knowledge or lore checks																	SOURCEPAGE:CAd				
Open Minded.MOD	BONUS:SKILLPOOL|CLASS=%;LEVEL=%|5	SOURCEPAGE:CAd																						DESC:Immediately gain 5 skill points																					
Oversized Two-Weapon Fighting	TYPE:General.Fighter	VISIBLE:YES	OUTPUTNAME:Oversized Two-Weapon Fighting			PREFEAT:1,Two-Weapon Fighting									PRESTAT:1,STR=13									DESC:Treat one-handed weapon in off-hand as if light weapon															BONUS:COMBAT|TOHIT-SECONDARY|2|PREEQUIPSECONDARY:1,WIELDCATEGORY=Light		SOURCEPAGE:CAd				
Power Throw	TYPE:General.Fighter	VISIBLE:YES				PREFEAT:2,Brutal Throw,Power Attack									PRESTAT:1,STR=13									DESC:Power attack with thrown weapons																	SOURCEPAGE:CAd				
Quick Reconnoiter	TYPE:General	VISIBLE:YES										PRESKILL:2,Listen=5,Spot=5												DESC:Spot and Listen as free action, +2 on initiative checks									BONUS:COMBAT|INITIATIVE|2								SOURCEPAGE:CAd				
Razing Strike	TYPE:General	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Sneak Attack							PRECLASS:1,SPELLCASTER=5							PREVARGTEQ:SneakAttackDice,1			DESC:Spend a spell uses to gain attack and damage bonuses against constructs or undead																	SOURCEPAGE:CAd				
Staggering Strike	TYPE:General	VISIBLE:YES		PREATT:6			PREABILITY:1,CATEGORY=Special Ability,Sneak Attack														PREVARGTEQ:SneakAttackDice,1			DESC:Limit target to a single action for 1 round																	SOURCEPAGE:CAd				
