SOURCELONG:Complete Adventurer	SOURCESHORT:CAd	SOURCEWEB:http://www.gozzilioni.net																																											
																																													
# Equipment Name	Output Name	Unique Key	Type	Cost	Weight	Source Page	Ability																									Combat bonus				Bonus to skill					Multiply spell cast/day				Special Property
# Arcane Scrolls																																													
###Block: 1-level Arcane Scrolls																																													
Scroll (Accelerated Movement/Arcane)	OUTPUTNAME:Scroll (Accelerated Movement)		TYPE:Magic.Scroll.Arcane.Consumable	COST:25	WT:.01	SOURCEPAGE:CAd																																							
Scroll (Arrow Mind/Arcane)	OUTPUTNAME:Scroll (Arrow Mind)		TYPE:Magic.Scroll.Arcane.Consumable	COST:25	WT:.01	SOURCEPAGE:CAd																																							
Scroll (Critical Strike)			TYPE:Magic.Scroll.Arcane.Consumable	COST:25	WT:.01	SOURCEPAGE:CAd																																							
Scroll (Distort Speech)			TYPE:Magic.Scroll.Arcane.Consumable	COST:50	WT:.01	SOURCEPAGE:CAd																																							
Scroll (Distract Assailant)			TYPE:Magic.Scroll.Arcane.Consumable	COST:25	WT:.01	SOURCEPAGE:CAd																																							
Scroll (Expeditious Retreat, Swift)			TYPE:Magic.Scroll.Arcane.Consumable	COST:25	WT:.01	SOURCEPAGE:CAd																																							
Scroll (Focusing Chant)			TYPE:Magic.Scroll.Arcane.Consumable	COST:50	WT:.01	SOURCEPAGE:CAd																																							
Scroll (Golem Strike)			TYPE:Magic.Scroll.Arcane.Consumable	COST:25	WT:.01	SOURCEPAGE:CAd																																							
Scroll (Guided Shot/Arcane)	OUTPUTNAME:Scroll (Guided Shot)		TYPE:Magic.Scroll.Arcane.Consumable	COST:25	WT:.01	SOURCEPAGE:CAd																																							
Scroll (Healthful Rest/Arcane)	OUTPUTNAME:Scroll (Healthful Rest)		TYPE:Magic.Scroll.Arcane.Consumable	COST:50	WT:.01	SOURCEPAGE:CAd																																							
Scroll (Herald's Call)			TYPE:Magic.Scroll.Arcane.Consumable	COST:50	WT:.01	SOURCEPAGE:CAd																																							
Scroll (Insightful Feint)			TYPE:Magic.Scroll.Arcane.Consumable	COST:25	WT:.01	SOURCEPAGE:CAd																																							
Scroll (Inspirational Boost)			TYPE:Magic.Scroll.Arcane.Consumable	COST:50	WT:.01	SOURCEPAGE:CAd																																							
Scroll (Instant Locksmith)			TYPE:Magic.Scroll.Arcane.Consumable	COST:25	WT:.01	SOURCEPAGE:CAd																																							
Scroll (Instant Search/Arcane)	OUTPUTNAME:Scroll (Instant Search)		TYPE:Magic.Scroll.Arcane.Consumable	COST:25	WT:.01	SOURCEPAGE:CAd																																							
