SOURCELONG:Complete Adventurer	SOURCESHORT:CAd	SOURCEWEB:http://www.gozzilioni.net										
#												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE
# Class Name req	Requirements	FINE										
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE	HASSUBCLASS	HASSUBSTITUTIONLEVEL	ALLOWBASECLASS
# Class Name specast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	SPELLLIST						
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)		
CLASS:Animal Lord	HD:10	TYPE:Prestige	ABB:Anl	MAXLEVEL:10	SOURCEPAGE:CAd	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Animal Lord	PREALIGN:NG,LN,TN,CN,NE	PREATT:5	PRESKILL:1,Handle Animal=4	PRESKILL:1,Knowledge (Nature)=2								ALLOWBASECLASS:NO
CLASS:Animal Lord	STARTSKILLPTS:4	CSKILL:Climb|Escape Artist|Handle Animal|Heal|Hide|Intimidate|Jump|Knowledge (Nature)|Listen|Move Silently|Spot|Survival|Swim										
#												
SUBCLASS:Apelord	COST:0	PRESKILL:1,Climb=4	PREFEAT:1,Toughness									
SUBCLASSLEVEL:1									SPELLS:Detect Apes|TIMES=UNLIM|CASTERLEVEL=classlevel("Apelord")|Detect Animals or Plants			
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Apelord Wild Aspect								
SUBCLASSLEVEL:4									SPELLS:Speak with Apes|TIMES=1|CASTERLEVEL=classlevel("Apelord")|Speak with Animals			
SUBCLASSLEVEL:5									SPELLS:Summon Apes|TIMES=1|CASTERLEVEL=classlevel("Apelord")|Summon Nature's Ally V			
SUBCLASSLEVEL:7									SPELLS:Apes Growth|TIMES=1|CASTERLEVEL=classlevel("Apelord")|Animal Growth			
SUBCLASS:Bearlord	COST:0	PRESKILL:1,Intimidate=4	PREFEAT:1,Endurance									
SUBCLASSLEVEL:1									SPELLS:Detect Bears|TIMES=UNLIM|CASTERLEVEL=classlevel("Bearlord")|Detect Animals or Plants			
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Bearlord Wild Aspect								
SUBCLASSLEVEL:4									SPELLS:Speak with Bears|TIMES=1|CASTERLEVEL=classlevel("Bearlord")|Speak with Animals			
SUBCLASSLEVEL:5									SPELLS:Summon Bears|TIMES=1|CASTERLEVEL=classlevel("Bearlord")|Summon Nature's Ally V			
SUBCLASSLEVEL:7									SPELLS:Bearss Growth|TIMES=1|CASTERLEVEL=classlevel("Bearlord")|Animal Growth			
SUBCLASS:Birdlord	COST:0	PRESKILL:1,Spot=4	PREFEAT:1,Improved Flight									
SUBCLASSLEVEL:1									SPELLS:Detect Birds|TIMES=UNLIM|CASTERLEVEL=classlevel("Birdlord")|Detect Animals or Plants			
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Birdlord Wild Aspect								
SUBCLASSLEVEL:4									SPELLS:Speak with Birds|TIMES=1|CASTERLEVEL=classlevel("Birdlord")|Speak with Animals			
SUBCLASSLEVEL:5									SPELLS:Summon Birds|TIMES=1|CASTERLEVEL=classlevel("Birdlord")|Summon Nature's Ally V			
SUBCLASSLEVEL:7									SPELLS:Bird Growth|TIMES=1|CASTERLEVEL=classlevel("Birdlord")|Animal Growth			
SUBCLASS:Catlord	COST:0	PRESKILL:1,Move Silently=4	PREFEAT:1,Weapon Finesse									
SUBCLASSLEVEL:1									SPELLS:Detect Cats|TIMES=UNLIM|CASTERLEVEL=classlevel("Catlord")|Detect Animals or Plants			
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Catlord Wild Aspect								
SUBCLASSLEVEL:4									SPELLS:Speak with Cats|TIMES=1|CASTERLEVEL=classlevel("Catlord")|Speak with Animals			
SUBCLASSLEVEL:5									SPELLS:Summon Cats|TIMES=1|CASTERLEVEL=classlevel("Catlord")|Summon Nature's Ally V			
SUBCLASSLEVEL:7									SPELLS:Cats Growth|TIMES=1|CASTERLEVEL=classlevel("Catlord")|Animal Growth			
SUBCLASS:Horselord	COST:0	PRESKILL:1,Jump=4	PREFEAT:1,Run									
SUBCLASSLEVEL:1									SPELLS:Detect Horses|TIMES=UNLIM|CASTERLEVEL=classlevel("Horselord")|Detect Animals or Plants			
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Horselord Wild Aspect								
SUBCLASSLEVEL:4									SPELLS:Speak with Horses|TIMES=1|CASTERLEVEL=classlevel("Horselord")|Speak with Animals			
SUBCLASSLEVEL:5									SPELLS:Summon Horses|TIMES=1|CASTERLEVEL=classlevel("Horselord")|Summon Nature's Ally V			
SUBCLASSLEVEL:7									SPELLS:Horses Growth|TIMES=1|CASTERLEVEL=classlevel("Horselord")|Animal Growth			
SUBCLASS:Sharklord	COST:0	PRESKILL:1,Swim=4	PREFEAT:1,Improved Swimming									
SUBCLASSLEVEL:1									SPELLS:Detect Sharks|TIMES=UNLIM|CASTERLEVEL=classlevel("Sharklord")|Detect Animals or Plants			
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Sharklord Wild Aspect								
SUBCLASSLEVEL:4									SPELLS:Speak with Sharks|TIMES=1|CASTERLEVEL=classlevel("Sharklord")|Speak with Animals			
SUBCLASSLEVEL:5									SPELLS:Summon Sharks|TIMES=1|CASTERLEVEL=classlevel("Sharklord")|Summon Nature's Ally V			
SUBCLASSLEVEL:7									SPELLS:Sharks Growth|TIMES=1|CASTERLEVEL=classlevel("Sharklord")|Animal Growth			
SUBCLASS:Snakelord	COST:0	PRESKILL:1,Escape Artist=4	PREFEAT:1,Combat Reflexes									
SUBCLASSLEVEL:1									SPELLS:Detect Snakes|TIMES=UNLIM|CASTERLEVEL=classlevel("Snakelord")|Detect Animals or Plants			
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Snakelord Wild Aspect								
SUBCLASSLEVEL:4									SPELLS:Speak with Snakes|TIMES=1|CASTERLEVEL=classlevel("Snakelord")|Speak with Animals			
SUBCLASSLEVEL:5									SPELLS:Summon Snakes|TIMES=1|CASTERLEVEL=classlevel("Snakelord")|Summon Nature's Ally V			
SUBCLASSLEVEL:7									SPELLS:Snakes Growth|TIMES=1|CASTERLEVEL=classlevel("Snakelord")|Animal Growth			
SUBCLASS:Wolflord	COST:0	PRESKILL:1,Survival=4	PREFEAT:1,Track									
SUBCLASSLEVEL:1									SPELLS:Detect Wolfs|TIMES=UNLIM|CASTERLEVEL=classlevel("Wolflord")|Detect Animals or Plants			
SUBCLASSLEVEL:3				ABILITY:Special Ability|AUTOMATIC|Wolflord Wild Aspect								
SUBCLASSLEVEL:4									SPELLS:Speak with Wolves|TIMES=1|CASTERLEVEL=classlevel("Wolflord")|Speak with Animals			
SUBCLASSLEVEL:5									SPELLS:Summon Wolves|TIMES=1|CASTERLEVEL=classlevel("Wolflord")|Summon Nature's Ally V			
