SOURCELONG:Complete Adventurer	SOURCESHORT:CAd	SOURCEWEB:http://www.gozzilioni.net										
#
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	FINE	CONTIGUOUS
# Class Name req	Requirements	FINE										
# Class Name 3	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)	HASSUBCLASS:	HASSUBSTITUTIONLEVEL				define class variables (DEFINE:variable|value	FINE			
# Class Name 4	SPELLSTAT	SPELLTYPE:	MEMORIZE/SPELLBOOK	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)							
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SA)	(SA)	(DOMAIN)	(BONUS)			(DEFINE)		
CLASS:Ninja	HD:6	TYPE:Base.PC.Oriental	ABB:Nin	MAXLEVEL:20	SOURCEPAGE:CAd	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE			
CLASS:Ninja	STARTSKILLPTS:6	CSKILL:Balance|Bluff|Climb|Concentration|TYPE.Craft|Disable Device|Disguise|Escape Artist|Gather Information|Hide|Jump|Listen|Move Silently|Open Lock|Search|Sense Motive|Sleight of Hand|Spot|Swim|Tumble										
1		AUTO:FEAT|Simple Weapon Proficiency	ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|Ninja Weapon Proficiencies									
#												
1				ABILITY:Special Ability|AUTOMATIC|Ninja AC			BONUS:VAR|NinjaACLVL|CL					
#												
1				ABILITY:Special Ability|AUTOMATIC|Ki Power|Ninja Ki Power|Sudden Strike|Ninja Sudden Strike	ABILITY:Special Ability|AUTOMATIC|Trapfinding		BONUS:VAR|NinjaKiPowerLVL|CL	BONUS:VAR|NinjaSuddenStrikeLVL|CL				
2				ABILITY:Special Ability|AUTOMATIC|Ghost Step|Ghost Step (Ki)|Ninja Ghost Step			BONUS:VAR|NinjaGostStepLVL|CL					
3				ABILITY:Special Ability|AUTOMATIC|Poison Use								
4				ABILITY:Special Ability|AUTOMATIC|Great Leap (Su)								
6				ABILITY:Special Ability|AUTOMATIC|Acrobatics|Ninja Acrobatics|Ki Dodge|Ninja Ki Dodge			BONUS:VAR|NinjaAcrobaticsLVL|CL	BONUS:VAR|NinjaKiDodgeLVL|CL				
7				ABILITY:Special Ability|AUTOMATIC|Speed Climb								
8				ABILITY:Special Ability|AUTOMATIC|Ghost Strike								
9				ABILITY:Special Ability|AUTOMATIC|Improved Poison Use								
10												
11												
12				ABILITY:Special Ability|AUTOMATIC|Evasion			BONUS:VAR|EvasionUsable,ImprovedEvasionUsable|1|TYPE=Prerequisite|PREEQUIP:1,TYPE=Light,TYPE=Medium,TYPE=Heavy					
13												
