SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEWEB:http://www.gozzilioni.net																																									
																																											
# EPIC																																											
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page		
Armor Skin	TYPE:Epic	VISIBLE:YES									PRELEVEL:MIN=21													DESC:Gain a +1 natural armor bonus.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE						BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE								SOURCEPAGE:CW		
Combat Archery	TYPE:Epic	VISIBLE:YES				PREFEAT:3,Dodge,Mobility,Point Blank Shot					PRELEVEL:MIN=21													DESC:You do not incur attacks of opportunity when firing a bow while threatened.																	SOURCEPAGE:CW		
Combat Insight	TYPE:Epic	VISIBLE:YES		PREATT:15		PREFEAT:2,Combat Expertise,Epic Prowess					PRELEVEL:MIN=21													DESC:Gain INT bonus rather STR modifier on the melee weapon's damage rolls.									BONUS:COMBAT|TOHIT|max(INT,STR)-STR								SOURCEPAGE:CW		
Damage Reduction	TYPE:Epic	VISIBLE:YES									PRELEVEL:MIN=21				PRESTAT:1,CON=21									DESC:You gain a damage reduction of 3/-.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:CW	DR:0/-	BONUS:DR|-|3
Epic Combat Expertise	TYPE:Epic.AttackOption.ModifyAC	VISIBLE:YES		PREATT:21		PREFEAT:1,Combat Expertise					PRELEVEL:MIN=21				PRESTAT:1,INT=19								DEFINE:CombatExpertiseMax|min(BAB,5)	DESC:When you use the attack action or the full attack action in melee, you can take a penalty of as much as %1 on your attack roll and add the same number as a dodge bonus to your Armor Class.|CombatExpertiseMax																	SOURCEPAGE:CW	TEMPLATE:Combat Expertise trade off	
Epic Prowess	TYPE:Epic	VISIBLE:YES									PRELEVEL:MIN=21													DESC:You gain a +1 bonus on all attacks.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:CW	BONUS:COMBAT|BAB|1	
Epic Toughness	TYPE:Epic	VISIBLE:YES									PRELEVEL:MIN=21													DESC:You gain +30 hit points.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:CW	BONUS:HP|CURRENTMAX|30	
Epic Weapon Focus	TYPE:Epic	VISIBLE:YES				PREFEAT:2,Weapon Focus,Greater Weapon Focus					PRELEVEL:MIN=21													DESC:Add a +2 bonus to all attack rolls you make using the selected weapon.	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|FEAT=Weapon Focus			BONUS:WEAPONPROF=%LIST|TOHIT|2|TYPE=EpicWeaponFocus											SOURCEPAGE:CW		
Epic Sunder	TYPE:Epic	VISIBLE:YES				PREFEAT:3,Epic Prowess,Improved Sunder,Power Attack					PRELEVEL:MIN=21				PRESTAT:1,STR=25									DESC:You deal extra damage when attacking objects.																	SOURCEPAGE:CW		
Legendary Rider	TYPE:Epic	VISIBLE:YES									PRELEVEL:MIN=21	PRESKILL:1,Ride=24												DESC:You don't take a penalty on Ride checks when riding a mount without a saddle (bareback) and you never need to make a Ride check to control a mount in combat.																	SOURCEPAGE:CW		
Perfect Two-Weapon Fighting	TYPE:Epic	VISIBLE:YES	KEY:Perfect Two-Weapon Fighting			PREFEAT:3,Greater Two-Weapon Fighting,Improved Two-Weapon Fighting,Two-Weapon Fighting					PRELEVEL:MIN=21				PRESTAT:1,DEX=25									DESC:You can make as many attacks with your off-hand weapon as with your primary weapon, using the same base attack bonus.									BONUS:COMBAT|SECONDARYATTACKS|1								SOURCEPAGE:CW		
Wield Oversized Weapon	TYPE:Epic	VISIBLE:YES				PREFEAT:1,Monkey Grip					PRELEVEL:MIN=21				PRESTAT:1,STR=25									DESC:You can use larger than normal weapons with ease treating ant weapon as if it were one size category smaller than normal and one category lighter for the purpose of determining the amount of effort it takes to wield.									BONUS:WIELDCATEGORY|ALL|-1								SOURCEPAGE:CW		
