SOURCELONG:Monster Manual 3	SOURCESHORT:MM3	SOURCEWEB:http://www.gozzilioni.net																																																																						
																																																																								
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|					Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells								
Ambush Drake			STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,30	FACE:5	REACH:5	VISION:Darkvision (60')|Low-light			LANGAUTO:Common,Draconic		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|4|TYPE=Racial				BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|8	BONUS:STAT|INT|-4		BONUS:STAT|CHA|-2			MONCSKILL:Hide|Listen|Move Silently|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Poison,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Slow 2|Poison	ABILITY:Special Ability|AUTOMATIC|Scent|Telepathic Link				ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	SR:16			MONSTERCLASS:Dragon:7	RACETYPE:Dragon		TYPE:Dragon	TEMPLATE:Dragon				HITDICEADVANCEMENT:14,21		CR:5	SOURCEPAGE:MM3		BONUS:VAR|Maneuverability|2	BONUS:VAR|BreathWeaponCone|30						
Ooze (Arcane Ooze)	OUTPUTNAME:[NAME]			SIZE:H	MOVE:Walk,20,Climb,20	FACE:15	REACH:10	VISION:Blindsight (60')		PREALIGN:TN					BONUS:SKILL|Climb|8|TYPE=Racial				BONUS:STAT|STR|12	BONUS:STAT|DEX|-10	BONUS:STAT|CON|16		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10			MONCSKILL:Climb									LEGS:0	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning.Acid,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Acid|Constrict|Improved Grab|Spell Siphon									MONSTERCLASS:Ooze:15	RACETYPE:Ooze		TYPE:Ooze	TEMPLATE:Ooze|Mindless				HITDICEADVANCEMENT:30,45		CR:9	SOURCEPAGE:MM3									
Armand		FAVCLASS:Monk	STARTFEATS:1	SIZE:S	MOVE:Walk,20,Burrow,10	FACE:5	REACH:5	VISION:Darkvision (60')			LANGAUTO:Common,Armandish	LANGBONUS:Elven,Giant,Gnome,Goblin,Sylvan	BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Survival|4|TYPE=Racial					BONUS:STAT|DEX|6	BONUS:STAT|CON|6						MONCSKILL:Jump|Listen|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Defensive Stance ~ Armand|Stability									MONSTERCLASS:Monstrous Humanoid:5	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid	TEMPLATE:Monstrous Humanoid					LEVELADJUSTMENT:3	CR:3	SOURCEPAGE:MM3		BONUS:VAR|DefensiveStanceBonus|2							
Astral Stalker			STARTFEATS:1	SIZE:M	MOVE:Walk,50,Climb,20	FACE:5	REACH:5	VISION:Darkvision (120')		PREALIGN:LE	LANGAUTO:Common,Infernal		BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|8|TYPE=Racial				BONUS:STAT|STR|14	BONUS:STAT|DEX|10	BONUS:STAT|CON|12	BONUS:STAT|INT|2	BONUS:STAT|WIS|6	BONUS:STAT|CHA|10			MONCSKILL:Climb|Hide|Jump|Listen|Move Silently|Search|Sense Motive|Spot|Survival			AUTO:WEAPONPROF|Throath Dart	AUTO:EQUIP|Throath Dart	AUTO:FEAT|Improved Critical(Claw)|Track				LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Poison|Sneak Attack	ABILITY:Special Ability|AUTOMATIC|Camouflage|Elusive Prey|Evasion|Scent|Swift Tracker|Unearthly Grace						DR:10/Magic		MONSTERCLASS:Outsider:12	RACETYPE:Outsider		TYPE:Outsider	TEMPLATE:Outsider					LEVELADJUSTMENT:6	CR:12	SOURCEPAGE:MM3		BONUS:VAR|SneakAttack|2	BONUS:VAR|EvasionUsable|1						
Avalancher			STARTFEATS:1	SIZE:L	MOVE:Walk,40,Burrow,10,Climb,20	FACE:10	REACH:10	VISION:Darkvision (60')|Low-light		PREALIGN:TN	LANGAUTO:Terran		BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|8|TYPE=Racial				BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2				MONCSKILL:Climb|Hide|Search|Spot									LEGS:6	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning.Cold,1,1d8		ABILITY:Special Ability|AUTOMATIC|Cause Avalanche|Transmute Rock to Mud (Sp)	ABILITY:Special Ability|AUTOMATIC|All-Around Vision|Immunity To Blunt Weapon Damage			ABILITY:Special Ability|AUTOMATIC|Avalancher Skills					MONSTERCLASS:Magical Beast:6	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast				HITDICEADVANCEMENT:9,18		CR:5	SOURCEPAGE:MM3		BONUS:VAR|CauseAvalanchePerDay|3	BONUS:VAR|TransmuteRokToMudPerDay|1	BONUS:VAR|TransmuteRokToMudLVL|9					
Battlebriar			STARTFEATS:1	SIZE:H	MOVE:Walk,30	FACE:15	REACH:10	VISION:Darkvision (60')|Low-light			LANGAUTO:Sylvan		BONUS:COMBAT|AC|24|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|22	BONUS:STAT|DEX|-4	BONUS:STAT|CON|16	BONUS:STAT|INT|-6		BONUS:STAT|CHA|-4			MONCSKILL:Hide									LEGS:4	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning.Cold,*4,2d6		ABILITY:Special Ability|AUTOMATIC|Impale|Improved Grab|Thorn Volley|Trample	ABILITY:Special Ability|AUTOMATIC|Resistance To Electricity|Resistance To Fire|Thorn Field			ABILITY:Special Ability|AUTOMATIC|Battlebriar Skills					MONSTERCLASS:Plant:25	RACETYPE:Plant		TYPE:Plant	TEMPLATE:Plant				HITDICEADVANCEMENT:50		CR:15	SOURCEPAGE:MM3		BONUS:VAR|ElectricityResistanceBonus|20	BONUS:VAR|FireResistanceBonus|20						
Battlebriar (Lesser)	OUTPUTNAME:[NAME] Battlebriar		STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:5	VISION:Darkvision (60')|Low-light			LANGAUTO:Sylvan		BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12	BONUS:STAT|DEX|-4	BONUS:STAT|CON|12	BONUS:STAT|INT|-6		BONUS:STAT|CHA|-4			MONCSKILL:Hide									LEGS:4	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning.Cold,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Impale|Improved Grab|Thorn Volley|Trample	ABILITY:Special Ability|AUTOMATIC|Resistance To Electricity|Resistance To Fire|Thorn Field			ABILITY:Special Ability|AUTOMATIC|Battlebriar Skills					MONSTERCLASS:Plant:12	RACETYPE:Plant		TYPE:Plant	TEMPLATE:Plant						CR:7	SOURCEPAGE:MM3		BONUS:VAR|ElectricityResistanceBonus|10	BONUS:VAR|FireResistanceBonus|10						
Bearhound			STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5	VISION:Darkvision (60')|Low-light			LANGAUTO:Common,Sylvan		BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16	BONUS:STAT|DEX|4	BONUS:STAT|CON|10	BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Hide|Knowledge (Nature)|Listen|Move Silently|Spot|Survival					AUTO:FEAT|Track				LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Enchanted Natural Weapons|Improved Grab|Trip	ABILITY:Special Ability|AUTOMATIC|Resistance To Cold|Scent|Trackless Step|Wild Empathy			ABILITY:Special Ability|AUTOMATIC|Training ~ Bearhound					MONSTERCLASS:Magical Beast:10	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast				HITDICEADVANCEMENT:20,30	LEVELADJUSTMENT:4	CR:7	SOURCEPAGE:MM3		BONUS:VAR|ColdResistanceBonus|10	BONUS:VAR|WildEmpathy|HD						
Boneclaw			STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:20	VISION:Darkvision (60')		PREALIGN:CE	LANGAUTO:Common,Abyssal		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|8		BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|8			MONCSKILL:Hide|Intimidate|Listen|Move Silently|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Piercing Claw,Weapon.Natural.Melee.Finesseable.Piercing,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Reaching Claw	ABILITY:Special Ability|AUTOMATIC|Turn Resistance|Immunity to Cold|Unholy Toughness						DR:5/Bludgeoning		MONSTERCLASS:Undead:10	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead				HITDICEADVANCEMENT:22		CR:5	SOURCEPAGE:MM3		BONUS:VAR|TurnResistBonus|2							
Bonedrinker			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:CE	LANGAUTO:Goblin,Common	LANGBONUS:ALL	BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|6		BONUS:STAT|INT|-2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Listen|Spot|Hide|Listen|Move Silently|Spot			AUTO:WEAPONPROF|Bonedrinker Tentacle	AUTO:EQUIP|Bonedrinker Tentacle					LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Bonedrink|Improved Grab|Pounce	ABILITY:Special Ability|AUTOMATIC|Resistance To Cold|Resistance To Fire|Resistance To Sonic|Scent|Unholy Toughness						DR:5/Silver or Good		MONSTERCLASS:Undead:11	RACETYPE:Undead		TYPE:Undead	TEMPLATE:Undead				HITDICEADVANCEMENT:15,33		CR:6	SOURCEPAGE:MM3		BONUS:VAR|ColdResistanceBonus|10	BONUS:VAR|FireResistanceBonus|10	BONUS:VAR|SonicResistanceBonus|10					
