SOURCELONG:Nephandum	SOURCESHORT:Nep	SOURCEWEB:http://www.gozzilioni.net																																									
																																											
# BASICS																																											
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page		
Sanguinary Weapon	TYPE:General.Fighter					PREFEAT:1,Weapon Focus																		DESC:Bonus +4 al tiro per colpire dopo un colpo critico.	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|FEAT=Weapon Focus	SELECT:1													SOURCEPAGE:Nep		
Decaying Attack	TYPE:General					PREABILITY:1,CATEGORY=Special Ability,Sneak Attack	PREABILITY:1,CATEGORY=Special Ability,Crippling Strike																	DESC:Colpo menomante infligge anche 2 danni alla COS.																	SOURCEPAGE:Nep		
Champion of Death	TYPE:General			PREATT:5																PREALIGN:LN,LE,TN,NE,CN,CE				DESC:Punti ferita temporanei dopo aver ucciso una creatura pi? potente.																	SOURCEPAGE:Nep		
Lethal Critical	TYPE:General.Fighter					PREFEAT:2,Greater Weapon Specialization,Improved Critical																		DESC:Colpo critico automatico dopo aver ottenuto una minaccia.	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|FEAT=Weapon Specialization	SELECT:1													SOURCEPAGE:Nep		
Improved Demoralization	TYPE:General.Fighter			PREATT:1								PRESKILL:1,Intimidate=4			PRESTAT:1,CHA=13									DESC:Demoralizzare ? un'azione di movimento.																	SOURCEPAGE:Nep		
Superior Demoralization	TYPE:General.Fighter			PREATT:3		PREFEAT:1,Improved Demoralization																		DESC:Bonus di +4 alla prova di Intimidire per demoralizzare																	SOURCEPAGE:Nep		
Terror Devourer	TYPE:General											PRESKILL:1,Sense Motive=6								PREALIGN:LN,LE,TN,NE,CN,CE				DESC:Bonus di +1 al tiro per colpire, ai danni e alla CA se un nemico ? spaventato																	SOURCEPAGE:Nep		
Text Examiner	TYPE:General					PREFEAT:1,Diligent																		DESC:Bonus di +2 a Conoscenze e Decifrare Scritture																	SOURCEPAGE:Nep		
Thin Hope	TYPE:General														PRESTAT:1,CHA=12					PRECHECKBASE:1,Will=4				DESC:Nuovo tiro savezza con penalit? -4																	SOURCEPAGE:Nep		
Dark Fascination	TYPE:General														PRESTAT:1,CHA=14									DESC:Bonus di +2 a Diplomazia e Raccogliere Informazioni													BONUS:SKILL|Diplomacy,Gather Information|2				SOURCEPAGE:Nep		
Undaunted	TYPE:General					PREFEAT:1,Iron Will														PRECHECKBASE:1,Will=4				DESC:Condizione di paura migliorata.																	SOURCEPAGE:Nep		
Prohibited Spells	TYPE:General														PRESTAT:1,WIS=14							PRETEXT:Specialized in a school of magic		DESC:L'incantatore pu? utilizzare incantesimi di una scuola proibita.																	SOURCEPAGE:Nep		
Terrifying Spells	TYPE:Metamagic.Wizard																							DESC:Incantesimi incutono terrore oltre ai normali effetti.																	SOURCEPAGE:Nep	ADDSPELLLEVEL:1	
Vampiric Spells	TYPE:Metamagic.Wizard																							DESC:Incantesimi infliggono la met? dei danni ma forniscono punti ferita temporanei.																	SOURCEPAGE:Nep	ADDSPELLLEVEL:2	
Mark of Death	TYPE:General														PRESTAT:1,CON=14					PRECHECKBASE:1,Will=4				DESC:Il personaggio torna in vita, con una penalit? al totale dei suoi punti ferita.																	SOURCEPAGE:Nep		
Divine Horror	TYPE:General					PREABILITY:1,CATEGORY=Special Ability,Turn Undead	PREABILITY:1,CATEGORY=Special Ability,Basic Favored Enemy,Basic Ancient Foe,Basic Chosen Foe,Basic Dark Nemesi,Basic Foe Hunter,Basic Harper Favored Enemy																	DESC:Scacciare i nemici prescelti.																	SOURCEPAGE:Nep		
First Blood	TYPE:General					PREFEAT:2,Quick Draw,Improved Initiative																		DESC:Bonus +1 al tiro per colpire e ai danni contro nemici colti all'improvviso.																	SOURCEPAGE:Nep		
Sickening Fist	TYPE:General.Fighter			PREATT:10		PREFEAT:1,Stunning Fist																		DESC:Avversario colpito rimane nauseato.																	SOURCEPAGE:Nep		
Lightning Reaction	TYPE:General					PREFEAT:1,Alertness																		DESC:Il personaggio mantiene il bonus di Destrezza anche se colto alla sprovvista.																	SOURCEPAGE:Nep		
Destructive Rotation	TYPE:General.Fighter			PREATT:6		PREFEAT:1,Power Attack									PRESTAT:1,STR=15									DESC:Azione di movimento per 1d6 danni extra.																	SOURCEPAGE:Nep		
Superior Destructive Rotation	TYPE:General.Fighter			PREATT:11		PREFEAT:1,Destructive Rotation																		DESC:Azione di round completo per 4d6 danni extra.																	SOURCEPAGE:Nep		
Scarification	TYPE:General																							DESC:Penalit? di -2 a Diplomazia e bonus di +4 a Intimidire.													BONUS:SKILL|Intimidate|4|TYPE=inherent				SOURCEPAGE:Nep		BONUS:SKILL|Diplomacy|-2
Whispers of Unknown	TYPE:General					PREFEAT:1,Alertness														PREALIGN:LG,LN,NG,TN,CG,CN				DESC:Bonus di +4 ad Ascoltare, Cercare, Osservare e penalit? -2 ai Tiri Salvezza.													BONUS:SKILL|Listem,Search,Spot|4				SOURCEPAGE:Nep		
Techinc of Investigation	TYPE:General					PREFEAT:1,Investigator																		DESC:Bonus di +2 a Cercare; Cercare e Raccogliere Informazioni sono abilit? di classe.													CSKILL:Search|Gather Information				SOURCEPAGE:Nep		
Indestructible Perseverance	TYPE:General					PREFEAT:1,Diehard									PRESTAT:1,CON=15									DESC:Il personaggio muore a -15 punti ferita.																	SOURCEPAGE:Nep		
Last Blow	TYPE:General			PREATT:3		PREFEAT:1,Iron Will																		DESC:Attacco di opportunit? bonus quando il personaggio ? a 0 punti ferita.																	SOURCEPAGE:Nep		
Veil of Mistery	TYPE:General				PRECLASS:1,SPELLCASTER=2																			DESC:Bonus di +2 ai tiri salvezza sulla Volonta contro la Divinazione.																	SOURCEPAGE:Nep		
#																																											
