SOURCELONG:Nephandum	SOURCESHORT:Nep	SOURCEWEB:http://www.gozzilioni.net																																																																							
																																																																									
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells									
Coagulo			STARTFEATS:1	SIZE:S	MOVE:Walk,15,Fly,30,Swim,120	FACE:5	REACH:5			PREALIGN:CE			BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|-2	BONUS:STAT|DEX|14	BONUS:STAT|CON|6	BONUS:STAT|INT|14	BONUS:STAT|WIS|14	BONUS:STAT|CHA|16			MONCSKILL:Escape Artist|Listen|Knowledge (Arcana)|Knowledge (Nature)|Knowledge (The Planes)|Knowledge (History)|Hide|Swim|Spot|Jump									LEGS:0	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d3		ABILITY:Special Ability|AUTOMATIC|Metal Devourer|Acid Blood|Shroud of Acid Blood|Pollutive Presence	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Acid Blood Spray|Vascular Extraction	ABILITY:Special Ability|AUTOMATIC|Immunity To Acid|Resistance To Fire				SR:18	DR:10/Magic		MONSTERCLASS:Aberration:12	RACETYPE:Aberration		TYPE:Aberration					HITDICEADVANCEMENT:24		CR:8	SOURCEPAGE:Nep				DEFINE:BreathWeaponDC|11+CON	DEFINE:BreathWeaponCone|30	DEFINE:BreathWeaponDice|4	DEFINE:BreathWeaponDamageDie|8	BONUS:VAR|FireResistanceBonus|20	ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|2
Falenoide		FAVCLASS:Rogue	STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,20	FACE:10	REACH:10	VISION:Darkvision (60')			AUTO:LANG|Common|Falenoid	LANGBONUS:Undercommon	BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Move Silently,Hide|4|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|4		BONUS:STAT|WIS|4				MONCSKILL:Listen|Move Silently|Hide|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Poison|Envelope	ABILITY:Special Ability|AUTOMATIC|Medulla Extraction|Screeching								MONSTERCLASS:Monstrous Humanoid:5	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid						LEVELADJUSTMENT:2	CR:4	SOURCEPAGE:Nep		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|1							
Gharrem			STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:10	VISION:Blindsight (60')					BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Listen,Move Silently,Hide|4|TYPE=Racial				BONUS:STAT|STR|14		BONUS:STAT|CON|12	BONUS:STAT|INT|4	BONUS:STAT|WIS|10	BONUS:STAT|CHA|8			MONCSKILL:Listen|Intimidate|Move Silently|Hide|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Regeneration|Immunity To Sleep|Immunity To Charm Effects	ABILITY:Special Ability|AUTOMATIC|Grind	ABILITY:Special Ability|AUTOMATIC|Gharrem Hide Ability					DR:5/Slashing		MONSTERCLASS:Plant:12	RACETYPE:Plant		TYPE:Plant					HITDICEADVANCEMENT:24,36		CR:8	SOURCEPAGE:Nep				DEFINE:RegenerationRate|5						
Grimoreo			STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,50	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:NE			BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|10		BONUS:STAT|INT|14	BONUS:STAT|WIS|14	BONUS:STAT|CHA|10			MONCSKILL:Listen|Search|Concentration|Knowledge (Arcana)|Knowledge (History)|Knowledge (The Planes)|Decipher Script|Move Silently|Hide|Spot|Spellcraft									LEGS:0	HANDS:0				NATURALATTACKS:Touch,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,0		ABILITY:Special Ability|AUTOMATIC|Spellcast|Absorb Spells	ABILITY:Special Ability|AUTOMATIC|Life Essence Drain|Incorporeal Touch ~ Grimoreo					SR:22	DR:10/Magic		MONSTERCLASS:Undead:12	RACETYPE:Undead	RACESUBTYPE:Incorporeal	TYPE:Undead							CR:12	SOURCEPAGE:Nep		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|4							
H'rakati		FAVCLASS:Fighter	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Low-light			AUTO:LANG|Common|H'rakati	LANGBONUS:Giant,Goblin,Orc			BONUS:SKILL|Craft (Weaponsmithing)|4|TYPE=Racial					BONUS:STAT|DEX|2	BONUS:STAT|CON|2		BONUS:STAT|WIS|2				MONCSKILL:Craft (Weaponsmithing)|Listen|Spot	AUTO:SHIELDPROF|SHIELDTYPE=Buckler		AUTO:WEAPONPROF|TYPE.Simple|TYPE.Martial	AUTO:ARMORPROF|ARMORTYPE=Light					LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Corporeal Graft|Fast Healing									MONSTERCLASS:Monstrous Humanoid:2	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid						LEVELADJUSTMENT:2	CR:2	SOURCEPAGE:Nep				DEFINE:FastHealing|2			BONUS:COMBAT|TOHIT|2	BONUS:MISC|MAXDEX|2		
Hypnocular			STARTFEATS:1	SIZE:M	MOVE:Walk,50	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:LE	AUTO:LANG|Telepathy		BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Listen,Hide,Jump|4|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|8	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Listen|Search|Intimidate|Hide|Spot|Jump									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Tail Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d4		ABILITY:Special Ability|AUTOMATIC|All-Around Vision|Hypnocular Hide Ability|Telepathy	ABILITY:Special Ability|AUTOMATIC|Hypnotic Gaze|Gaze|Assault								MONSTERCLASS:Magical Beast:7	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:14,21		CR:7	SOURCEPAGE:Nep	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=7|Hypnotism,11+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=7|Hold Person,13+CHA|Deep Slumber,13+CHA		DEFINE:TelepathyRange|60						
#Imago																																																																									
Mangroviale			STARTFEATS:1	SIZE:L	MOVE:Walk,20	FACE:10	REACH:10			PREALIGN:TN			BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16	BONUS:STAT|DEX|-4	BONUS:STAT|CON|14	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4				MONCSKILL:Listen|Hide|Spot									LEGS:2	HANDS:4				NATURALATTACKS:Tentacle Rake,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,2d6		ABILITY:Special Ability|AUTOMATIC|Poison|Improved Grab|Regeneration	ABILITY:Special Ability|AUTOMATIC|Forced Symbiosis								MONSTERCLASS:Plant:11	RACETYPE:Plant		TYPE:Plant					HITDICEADVANCEMENT:22,33		CR:9	SOURCEPAGE:Nep				DEFINE:RegenerationRate|5						
Maschera Vivente			STARTFEATS:1	SIZE:M	MOVE:Fly,40	FACE:10	REACH:10	VISION:Blindsight (60')|Darkvision (60')					BONUS:COMBAT|AC|8|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|8			BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Listen|Search|Move Silently|Hide|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Aura of Interdition to Transport|Absolute Localization		ABILITY:Special Ability|AUTOMATIC|Hive Mind|Immunity To Electricity|Resistance to Fire|Resistance to Cold|Tongues				SR:20	DR:10/Magic		MONSTERCLASS:Construct:10	RACETYPE:Construct		TYPE:Construct							CR:6	SOURCEPAGE:Nep		ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability	BONUS:VAR|Maneuverability|5	DEFINE:FireResistanceBonus|10	DEFINE:ColdResistanceBonus|10					
Mummia Glaciale			STARTFEATS:1	SIZE:M	MOVE:Walk,20,Climb,10	FACE:5	REACH:5						BONUS:COMBAT|AC|12|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12			BONUS:STAT|INT|2	BONUS:STAT|WIS|6	BONUS:STAT|CHA|10			MONCSKILL:Listen|Move Silently|Spot|Climb									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Cold Aura ~ Mummia Glaciale|Crystallization	ABILITY:Special Ability|AUTOMATIC|Cold Touch						DR:5/-		MONSTERCLASS:Undead:14	RACETYPE:Undead	RACESUBTYPE:Cold	TYPE:Undead					HITDICEADVANCEMENT:30		CR:7	SOURCEPAGE:Nep	SPELLS:Innate|TIMES=1|CASTERLEVEL=16|Cone of Cold,15+CHA									
