SOURCELONG:Nephandum	SOURCESHORT:Nep	SOURCEWEB:http://www.gozzilioni.net																											
#																													
###Block:Armor abilities																													
# Modifier Name	Unique Key	Type	Plus	Cost	Visible	Type granted	Keys to replace	Source Page	Requirements					Spell Res.	Damage Reduction	BONUS:EQM	BONUS:EQMWEAPON	Bonus to skill			Modify VAR			Special Property			Virtual Feat	Choose	Apply to both heads
Terrifying	KEY:TERRIF_WEAP	TYPE:Weapon.Ranged.Ammunition		COST:100		ITYPE:Terrifying		SOURCEPAGE:Nep																SPROP:+2 Intimidate checks in combat for demoralizing enemies					ASSIGNTOALL:NO
Terrifying	KEY:TERRIF_ARMR	TYPE:Armor.Shield		COST:250		ITYPE:Terrifying		SOURCEPAGE:Nep																SPROP:+2 Intimidate checks in combat for demoralizing enemies					ASSIGNTOALL:NO
Terrifying	KEY:TERRIF_BRDN	TYPE:Barding		COST:600		ITYPE:Terrifying		SOURCEPAGE:Nep																SPROP:+2 Intimidate checks in combat for demoralizing enemies					ASSIGNTOALL:NO
#																													
# Modifier Name																													
Tireing	KEY:TIRE_M	TYPE:Weapon.Melee	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:Nep	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:La creatura che subisce un critico agisce come se fosse al carico massimo per 1 minuto.					ASSIGNTOALL:NO
Foggying	KEY:FOGGY_M	TYPE:Weapon.Melee	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:Nep	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:A comando, Nube di Nebbia nel raggio di 4,5m					ASSIGNTOALL:NO
Bloody	KEY:BLOODY_R	TYPE:Weapon.Ranged	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:Nep	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:Dopo aver colpito, per 3 round, i proiettili infliggono 1d4+1 per round. Guarire CD 18 per riuovere o 1d4 danni ulteriori					ASSIGNTOALL:NO
Infect	KEY:INFECT_M	TYPE:Weapon.Melee	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:Nep	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:bersaglio colpito Tempra CD 12 o Malattia Rossa. Immunita Malattia Rossa. +2 TS vs Malattie naturali e soprannaturali.					ASSIGNTOALL:NO
Darkened	KEY:DRKND_M	TYPE:Weapon.Melee	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:Nep	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:Fumo oscuro emanato dall'arma.Chi viene colpito ha il 20% di probabilita di fallire il successivo attacco a causa di Occultamento (50% in caso di critico).					ASSIGNTOALL:NO
Darkened	KEY:DRKND_R	TYPE:Weapon.Ranged	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:Nep	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:Fumo oscuro emanato dall'arma.Chi viene colpito ha il 20% di probabilita di fallire il successivo attacco a causa di Occultamento (50% in caso di critico).					ASSIGNTOALL:NO
Picking	KEY:PICK_M	TYPE:Weapon.Melee.Container		COST:50	VISIBLE:QUALIFY			SOURCEPAGE:Nep	PRETYPE:2,Weapon,Melee															SPROP:Scomparto nell'elsa.	CONTAINS:*1|ThiefTools=1|Scroll=1	BONUS:EQM|WEIGHTADD|1			ASSIGNTOALL:YES
