SOURCELONG:Nephandum	SOURCESHORT:Nep	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	Description	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Amnesia			TYPE:Arcane.Divine	CLASSES:Cleric=9|Sorcerer,Wizard=9		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V, S, M, XP	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One creature		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:I ricordi della vittima vengono cancellati permanentemente	SOURCEPAGE:Nep		COST:5000	XPCOST:1000					
Atrofia dello Scheletro			TYPE:Arcane.Divine	CLASSES:Cleric=3|Sorcerer,Wizard=3		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round/2 level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Le ossa della vittima perdono solidita', infliggendo una penalita' di -4 al tiro per colpire e alla CA	SOURCEPAGE:Nep								
Autocombustione			TYPE:Divine	CLASSES:Druid=3		SCHOOL:Transmutation		DESCRIPTOR:Fire	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/2 level	SAVEINFO:None	SPELLRES:No	DESC:L'incantatore e' avvolto da fiamme che non gli procurano ferite e che infliggono 1d6 danni aggiuntivi a ogni suo attacco in mischia	SOURCEPAGE:Nep								
Babele Oscura			TYPE:Arcane.Divine	CLASSES:Cleric=2|Sorcerer,Wizard=3		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Permanent	SAVEINFO:Will Negates	SPELLRES:Yes	DESC:La vittima non e' piu' in grado di parlare la propria lingua	SOURCEPAGE:Nep								
Catarsi Straziante			TYPE:Divine	CLASSES:Cleric=5|Paladin=4		SCHOOL:Conjuration	SUBSCHOOL:Healing	DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:30-ft-radius cone		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:No	DESC:Cura oppure infligge danni alle creature presenti all'interno dell'area di effetto a seconda del loro allineamento	SOURCEPAGE:Nep								
Cerchio di Grazia			TYPE:Divine	CLASSES:Paladin=3		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:20-ft radius spread, centered on you		DURATION:1 minute/LEVEL	SAVEINFO:Will negates; See text	SPELLRES:No	DESC:Crea un cerchio di protezione dai non morti	SOURCEPAGE:Nep								
Corrompere la Natura			TYPE:Divine	CLASSES:Cleric=8		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Non-inteligent organic material in a 90-ft radius emanating from you to the extent of the range		DURATION:Instantaneous	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Distrugge il materiale e le creature organiche non intelligenti presenti nell'area	SOURCEPAGE:Nep								
Cubo Nero			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Necromancy			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:1 cubo con spigolo 5 cm + un cubo ulteriore ogni 4 livelli (massimo 5)		DURATION:1 round/2 level	SAVEINFO:None	SPELLRES:Yes	DESC:Crea uno o piu' cubi di energia negativa che infliggono 1d8 danni, dissolvendosi all'impatto	SOURCEPAGE:Nep								
Deturpamento			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:1 round/2 level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Deforma la fisionomia della vittima, infliggendole -6 ai punteggi di DES e CAR, dimezzando la sua velocita'	SOURCEPAGE:Nep								
Deturpamento (Superiore)	OUTPUTNAME:Deturpamento Superiore		TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:1 round/2 level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:come Deturpamento, ma la vittima subisce anche una penalita' di -6 al punteggio di COS, la velocita' si riduce a un passo da 1,5m e ha difficolta' a parlare.	SOURCEPAGE:Nep								
