SOURCELONG:Nephandum Campaign Setting	SOURCESHORT:Nep	SOURCEWEB:http://www.gozzilioni.net																	
																			
# Equipment Name	Output Name		Type	Cost	Weight	Base Quantity	Modifier	Requires Modification?	Source Page	Weapon prop. bonus	Special Property								
#Scythe Of Desperation	COST:48318																		
#Whip of Tortures	COST:39987																		
#Dagger or Shadows	COST:66302																		
#Club Of Revengeful Nature	COST:43502																		
#Sword of the Stained Moon	COST:33643																		
																			
Scythe Of Desperation		PROFICIENCY:WEAPON|Scythe	TYPE:Enhancement.Weapon.Martial.Melee.Specific.Piercing.Slashing.TwoHanded.Scythe	COST:18	WT:10	WIELD:TwoHanded	EQMOD:STEEL.MWORKW.PLUS2W.KEEN	MODS:NO	SOURCEPAGE:PGtF		SPROP:when hit a foe, the target gain -4 penalty to hit, saving throw, CA, ability checks and skill check.Will DC 16 to resist.	CRITMULT:x4	CRITRANGE:1	DAMAGE:2d4		SIZE:M			
Whip of Tortures		PROFICIENCY:WEAPON|Whip	TYPE:Enhancement.Weapon.Exotic.Melee.Specific.Slashing.OneHanded.Reach.Finesseable.Subdual.Whip	COST:1	WT:2	WIELD:OneHanded	EQMOD:LEATHER.MWORKW.PLUS3W	MODS:NO	SOURCEPAGE:PGtF			CRITMULT:x2	CRITRANGE:1	DAMAGE:1d3		SIZE:M		SPROP:Visione Agghiacciante to the foes hit for 9 rounds. Will DC 14.	REACH:15
Dagger or Shadows		PROFICIENCY:WEAPON|Dagger	TYPE:Enhancement.Weapon.Simple.Melee.Ranged.Specific.Piercing.Slashing.Light.Finesseable.Thrown.Dagger	COST:2	WT:1	WIELD:Light	EQMOD:STEEL.MWORKW.PLUS2W	MODS:NO	SOURCEPAGE:PGtF			CRITMULT:x2	CRITRANGE:2	DAMAGE:1d4		SIZE:M		SPROP:when hit, inflicts 1d6 Strength damage.	RANGE:10
Club Of Revengeful Nature		PROFICIENCY:WEAPON|Club	TYPE:Enhancement.Weapon.Simple.Melee.Ranged.Specific.Bludgeoning.OneHanded.Thrown.Club	COST:0	WT:3	WIELD:OneHanded	EQMOD:WOOD.MWORKW.PLUS4W.BANE_M|Aberrations	MODS:NO	SOURCEPAGE:PGtF			CRITMULT:x2	CRITRANGE:1	DAMAGE:1d6		SIZE:M			RANGE:10
Sword of the Stained Moon		PROFICIENCY:WEAPON|Sword (Short)	TYPE:Enhancement.Weapon.Martial.Melee.Specific.Piercing.Light.Finesseable.Sword	COST:10	WT:2	WIELD:Light	EQMOD:STEEL.MWORKW.PLUS1W	MODS:NO	SOURCEPAGE:PGtF			CRITMULT:x2	CRITRANGE:2	DAMAGE:1d6		SIZE:M		SPROP:Keen and Speed when under the light of the moon.	
