SOURCELONG:Nephandum	SOURCESHORT:Nep	SOURCEWEB:http://www.gozzilioni.net
		
#Teleport	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine
Daze.MOD	CLASSES:Defiled=0	
Acid Splash.MOD	CLASSES:Defiled=0	
Inflict Minor Wounds.MOD	CLASSES:Defiled=0	
Bane.MOD	CLASSES:Defiled=1	
Doom.MOD	CLASSES:Defiled=1	
Inflict Light Wounds.MOD	CLASSES:Defiled=1	
Darkness.MOD	CLASSES:Defiled=2	
Inflict Moderate Wounds.MOD	CLASSES:Defiled=2	
Web.MOD	CLASSES:Defiled=2	
Deeper Darkness.MOD	CLASSES:Defiled=3	
Inflict Serious Wounds.MOD	CLASSES:Defiled=3	
Stinking Cloud.MOD	CLASSES:Defiled=3	
Ferita Caustica.MOD	CLASSES:Defiled=4	
Inflict Critical Wounds.MOD	CLASSES:Defiled=4	
Phantasmal Killer.MOD	CLASSES:Defiled=4	
Cloudkill.MOD	CLASSES:Defiled=5	
Mind Fog.MOD	CLASSES:Defiled=5	
Waves of Fatigue.MOD	CLASSES:Defiled=5	
Acid Fog.MOD	CLASSES:Defiled=6	
Circle of Death.MOD	CLASSES:Defiled=6	
Harm.MOD	CLASSES:Defiled=6	
Repulsion.MOD	CLASSES:Defiled=7	
Sepolto Vivo.MOD	CLASSES:Defiled=7	
Waves of Exhaustion.MOD	CLASSES:Defiled=7	
Corrompere la Natura.MOD	CLASSES:Defiled=8	
Horrid Wilting.MOD	CLASSES:Defiled=8	
Incendiary Cloud.MOD	CLASSES:Defiled=8	
Time Stop.MOD	CLASSES:Defiled=9	
Wail of the Banshee.MOD	CLASSES:Defiled=9	
Weird.MOD	CLASSES:Defiled=9	
Detect Chaos.MOD	CLASSES:Witch Hunter=1	
Detect Evil.MOD	CLASSES:Witch Hunter=1	
Detect Magic.MOD	CLASSES:Witch Hunter=1	
Identify.MOD	CLASSES:Witch Hunter=1	
Individuazione degli Esterni.MOD	CLASSES:Witch Hunter=1	
Magic Weapon.MOD	CLASSES:Witch Hunter=1	
Read Magic.MOD	CLASSES:Witch Hunter=1	
Senso della Clessidra.MOD	CLASSES:Witch Hunter=1	
True Strike.MOD	CLASSES:Witch Hunter=1	
Fox's Cunning.MOD	CLASSES:Witch Hunter=2	
Locate Object.MOD	CLASSES:Witch Hunter=2	
Magic Circle against Chaos.MOD	CLASSES:Witch Hunter=2	
Magic Circle against Evil.MOD	CLASSES:Witch Hunter=2	
Quadrello Scarlatto.MOD	CLASSES:Witch Hunter=2	
See Invisibility.MOD	CLASSES:Witch Hunter=2	
Sentore di Sangue.MOD	CLASSES:Witch Hunter=2	
Silence.MOD	CLASSES:Witch Hunter=2	
Dispel Magic.MOD	CLASSES:Witch Hunter=3	
Glyph of Warding.MOD	CLASSES:Witch Hunter=3	
Locate Creature.MOD	CLASSES:Witch Hunter=3	
Magic Weapon (Greater).MOD	CLASSES:Witch Hunter=3	
Percezione Estrinseca.MOD	CLASSES:Witch Hunter=3	
Spell Immunity.MOD	CLASSES:Witch Hunter=3	
Tongues.MOD	CLASSES:Witch Hunter=3	
Break Enchantment.MOD	CLASSES:Witch Hunter=4	
Dismissal.MOD	CLASSES:Witch Hunter=4	
Dispel Chaos.MOD	CLASSES:Witch Hunter=4	
Dispel Magic.MOD	CLASSES:Witch Hunter=4	
Legend Lore.MOD	CLASSES:Witch Hunter=4	
Piaga del Tradimento.MOD	CLASSES:Witch Hunter=4	
True Seeing.MOD	CLASSES:Witch Hunter=4	
