SOURCELONG:Gozzilioni Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-09																																								
																																											
# BASICS																																											
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page		
#Ability Focus																																											
Area Attack	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Power Attack									PRESTAT:1,STR=19						PRESIZEGTEQ:H			DESC:You can wield improvised weapons to attack several spaces at once.																	SOURCEPAGE:SS		
Assume Supernatural Ability	TYPE:General	VISIBLE:YES													PRESTAT:1,WIS=13					PRETEXT:Ability to assume a new form magically.				DESC:You learn to use a supernatural ability of an assumed form.	STACK:NO	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS		
Blowhard	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Power Attack									PRESTAT:1,CON=20					PRESIZEGTEQ:H				DESC:You can blow targets over with your breath.																	SOURCEPAGE:SS		
Bonus Breath	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Extend Spell,Extend Spell Like Ability														PRETEXT:Breath weapon with limited uses per day		PREABILITY:1,CATEGORY=Ability Focus,Breath Weapon		DESC:You can use your breath weapon one more time per day than you normally could.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:SS		
Controlled Respiration	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Endurance														PRETEXT:Time limit on how long you can remain out of the water				DESC:You can stay out of water longer than you otherwise could.																	SOURCEPAGE:SS		
Crush	TYPE:General	VISIBLE:YES																		PRESIZEGTEQ:H				DESC:Like a dragon, you can hurl your body onto opponents to deal tremendous damage																	SOURCEPAGE:SS		
Cumbrous Dodge	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Dodge						PRESKILL:1,Tumble=4												DESC:You have a chance to dodge attacks that hits you, but a cost																	SOURCEPAGE:SS		
Cumbrous Fortitude	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Great Fortitude																		DESC:You have a greater chance than normal to resist attacks against your vitality, but a cost																	SOURCEPAGE:SS		
Cumbrous Reflexes	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Lightning Reflexes																		DESC:You have a greater chance than normal to resist attacks against your agility, but a cost																	SOURCEPAGE:SS		
Cumbrous Will	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Iron Will																		DESC:You have a greater chance than normal to resist attacks against your willpower, but a cost																	SOURCEPAGE:SS		
Deadly Poison	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Virulent Poison									PRESTAT:1,CON=19				PRETEXT:the poison must deal ability damage as a secondary damage.	PREABILITY:1,CATEGORY=Special Ability,Poison				DESC:Your poison attack deals more damage than normal																	SOURCEPAGE:SS		
Deep Denizen	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Underground as sole terrain type.				DESC:You are adapted to a subterran environment													BONUS:SKILL|Listen|2|TYPE=Competence				SOURCEPAGE:SS	BONUS:SITUATION|Survival=Track by scent|4|TYPE=Competence	
Desert Dweller	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Desert terrain type.				DESC:You are adapted to a desert environment																	SOURCEPAGE:SS		
Detach	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CON=19					PREABILITY:1,CATEGORY=Special Ability,Regeneration				DESC:You can remove part of your body and use it as a ranged weapon																	SOURCEPAGE:SS		
Dust Cloud	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Combat Reflexes									PRESTAT:2,DEX=19,INT=19				PRETEXT:Wings or tail.	PRESIZEGTEQ:H				DESC:You can sweep dust into the air to hide from opponents																	SOURCEPAGE:SS		
#Empower Spell Like Ability																																											
Extend Reach	TYPE:Monstrous	VISIBLE:YES																	PRETEXT:Nonrigid body or nonrigid attack form such as a tentacle, feeler or pseudopod.	PRESIZEGTEQ:S				DESC:Your flexible body allows you to reach farther than normal	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|PC[TYPE=Natural]														SOURCEPAGE:SS	SELECT:1	
Extra Item Space	TYPE:Monstrous	VISIBLE:YES								PREMULT:1,[PREHANDSGT:2],[PRELEGSGT:2]														DESC:You can wear more magic items than are normally allowed	STACK:YES	MULT:YES	CHOOSE:STRING|BOOT|BRACER|EYEGEAR|GLOVE|HANDS|HEADGEAR|LEGS|RING														SOURCEPAGE:SS	SELECT:1	BONUS:SLOTS|LIST|1
Final Strike	TYPE:Monstrous	VISIBLE:YES																		PRERACE:1,RACESUBTYPE=Acid,RACESUBTYPE=Air,RACESUBTYPE=Cold,RACESUBTYPE=Earth,RACESUBTYPE=Electricity,RACESUBTYPE=Fire,RACESUBTYPE=Water				DESC:Your death throes are destructive.																	SOURCEPAGE:SS		
Fling Enemy	TYPE:General	VISIBLE:YES													PRESTAT:1,STR=23				PREABILITY:1,CATEGORY=Special Ability,Improved Grab	PRESIZEGTEQ:H				DESC:You can pick up an opponent and fling it																	SOURCEPAGE:SS		
Gape of the Serpent	TYPE:General	VISIBLE:YES																		PREABILITY:1,CATEGORY=Special Ability,Swallow Whole				DESC:You can swallow a creaure of up to your own size category																	SOURCEPAGE:SS		
Grass Trekker	TYPE:General.Background	VISIBLE:YES																		PRETEXT:Plains terrain type.				DESC:You are adapted to a plains environment													BONUS:SKILL|Jump|2|TYPE=Competence				SOURCEPAGE:SS		
Great Flyby Attack	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Flyby Attack														PREMOVE:1,Fly=1				DESC:You can make multiple flyby attacks in a round																	SOURCEPAGE:SS		
