SOURCELONG:Savage Species	SOURCESHORT:SS	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Resilient ~ Sneak Attack	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES																													SOURCEPAGE:SS
Broodguard Rage	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:GreaterRage|0	DEFINE:TirelessRage|0	DEFINE:MightyRage|0	DEFINE:BroodguardRageTimesLVL|0	DEFINE:BroodguardRagePowerLVL|0	BONUS:VAR|RageTimes|1																		SOURCEPAGE:SS
Emancipated Spawn Turn Resistance	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:EmancipatedSpawnTurnResistanceLVL|0					BONUS:VAR|TurnResistBonus|EmancipatedSpawnTurnResistanceLVL*2																		SOURCEPAGE:SS
Illithid Savant Lore	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:IllithidSavantLoreLVL|0					BONUS:VAR|Lore|2|PREVARGTEQ:IllithidSavantLoreLVL,1	BONUS:VAR|Lore|2|PREVARGTEQ:IllithidSavantLoreLVL,2	BONUS:VAR|Lore|2|PREVARGTEQ:IllithidSavantLoreLVL,5	BONUS:VAR|Lore|2|PREVARGTEQ:IllithidSavantLoreLVL,9															SOURCEPAGE:SS
Master of Flies Swarm Shape	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:MasterOfFliesSwarmShapeLVL|0					BONUS:VAR|SwarmShapeTimes|min(5,MasterOfFliesSwarmShapeLVL*3/4)	BONUS:VAR|SwarmShapeTimes|1|PREVAREQ:MasterOfFliesSwarmShapeLVL,6	BONUS:VAR|SwarmShapeDuration|MasterOfFliesSwarmShapeLVL	BONUS:VAR|SwarmShapeProgression|1|PREVARGTEQ:MasterOfFliesSwarmShapeLVL,1	BONUS:VAR|SwarmShapeProgression|1|PREVARGTEQ:MasterOfFliesSwarmShapeLVL,5	BONUS:VAR|SwarmShapeProgression|1|PREVARGTEQ:MasterOfFliesSwarmShapeLVL,8													SOURCEPAGE:SS
Master of Flies Pied Piper	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:MasterOfFliesPiedPiperLVL|0					BONUS:VAR|PiedPiperPerDay|MasterOfFliesPiedPiperLVL																		SOURCEPAGE:SS
Master of Flies Swarm Leap	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|SwarmLeapPerDay|1																		SOURCEPAGE:SS
Scaled Horror DR	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ScaledHorrorDR|0	DEFINE:ScaledHorrorDRLVL|0				BONUS:VAR|ScaledHorrorDR|((ScaledHorrorDRLVL+2)/6)*2									DR:ScaledHorrorDR/-									SOURCEPAGE:SS
Siren Song of Despair	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SirenSongOfDespairLVL|0					BONUS:VAR|SongOfDespairPerDay|1	BONUS:VAR|SongOfDespairDC|SirenSongOfDespairLVL																	SOURCEPAGE:SS
Siren Song of Idiocy	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SirenSongOfIdiocyLVL|0					BONUS:VAR|SongOfIdiocyPerDay|SirenSongOfIdiocyLVL	BONUS:VAR|SongOfIdiocyDC|SirenSongOfIdiocyLVL																	SOURCEPAGE:SS
Siren Song of Weakness	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SirenSongOfWeaknessLVL|0					BONUS:VAR|SongOfWeaknessPerDay|SirenSongOfWeaknessLVL	BONUS:VAR|SongOfWeaknessDC|SirenSongOfWeaknessLVL																	SOURCEPAGE:SS
Siren Song of Stone	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SirenSongOfStoneLVL|0					BONUS:VAR|SongOfStonePerDay|SirenSongOfStoneLVL	BONUS:VAR|SongOfStoneDC|SirenSongOfStoneLVL																	SOURCEPAGE:SS
Siren Song of Death	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SirenSongOfDeathLVL|0					BONUS:VAR|SongOfDeathPerDay|1	BONUS:VAR|SongOfDeathDC|SirenSongOfDeathLVL																	SOURCEPAGE:SS
Slaad Brooder Imbue Pellet	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SlaadBrooderImbuePelletLVL|0					BONUS:VAR|ImbuePelletDC|SlaadBrooderImbuePelletLVL																		SOURCEPAGE:SS
Slaad Brooder Dominate Spawn	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SlaadBrooderDominateSpawnLVL|0					BONUS:VAR|DominateSpawnDC|SlaadBrooderDominateSpawnLVL																		SOURCEPAGE:SS
