SOURCELONG:Pathfinder Srd	SOURCESHORT:PFSrd	SOURCEWEB:https://sites.google.com/site/pathfinderogc
		
Teleport.MOD	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine
Resistance.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Acid Splash.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Detect Magic.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Detect Poison.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Read Magic.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Daze.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Dancing Lights.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Flare.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Light.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Ray of Frost.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Ghost Sound.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Bleed.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Disrupt Undead.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Touch of Fatigue.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Mage Hand.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Mending.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Message.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Open/Close.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Arcane Mark.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Prestidigitation.MOD	CLASSES:Sorcerer Bloodline=0	TYPE:Arcane
Alarm.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Endure Elements.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Hold Portal.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Protection from Chaos.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Protection from Evil.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Protection from Law.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Protection from Good.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Shield.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Grease.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Mage Armor.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Mount.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Obscuring Mist.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Summon Monster I.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Unseen Servant.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Comprehend Languages.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Detect Secret Doors.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Detect Undead.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Identify.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
True Strike.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Charm Person.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Hypnotism.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Sleep.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Burning Hands.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Floating Disk.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Magic Missile.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Shocking Grasp.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Color Spray.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Disguise Self.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Magic Aura.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Silent Image.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Ventriloquism.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Cause Fear.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Chill Touch.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Ray of Enfeeblement.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Animate Rope.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Enlarge Person.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Erase.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Expeditious Retreat.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Feather Fall.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Jump.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Magic Weapon.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Reduce Person.MOD	CLASSES:Sorcerer Bloodline=1	TYPE:Arcane
Arcane Lock.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Obscure Object.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Protection from Arrows.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Resist Energy.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Acid Arrow.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Fog Cloud.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Glitterdust.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Summon Monster II.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Summon Swarm.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Web.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Detect Thoughts.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Locate Object.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
See Invisibility.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Daze Monster.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Hideous Laughter.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Touch of Idiocy.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Continual Flame.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Darkness.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Gust of Wind.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Scorching Ray.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Shatter.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Blur.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Hypnotic Pattern.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Invisibility.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
Magic Mouth.MOD	CLASSES:Sorcerer Bloodline=2	TYPE:Arcane
